rows,positive_rows,positive_share,threshold,predicted_positive_rows,alert_rate,precision,recall,f1,pr_auc,roc_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,brier,log_loss,target_definition,description,fold_id,train_end_year,validation_year,test_year,seed,split,calibration_method,model_name,raw_feature_count,model_feature_count,fit_seconds,removed_formula_aligned_features
122616,15712,0.12813988386507472,0.5146818949355076,34600,0.28218177073138906,0.2575722543352601,0.5672097759674134,0.35426935919860075,0.3096847824030577,0.7406877208593072,0.5810920945395273,0.4217908987114663,0.35508073723699235,0.18097409822180854,0.5368091290303711,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,final_style_2025,2023,2024,2025,3407,test,uncalibrated,lightgbm_no_8w_formula_features,57,69,20.887141942977905,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,15858,0.12689039320178597,0.16727374032079229,33743,0.2700001600332869,0.259194499599917,0.5515197376718376,0.35265418035926693,0.28970870772501656,0.7367363174523838,0.4896,0.39862377980476876,0.343014882381181,0.10118571562694462,0.3396792412492757,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,final_style_2025,2023,2024,2025,3407,validation,platt,lightgbm_no_8w_formula_features,57,69,20.887141942977905,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,15712,0.12813988386507472,0.16727374032079229,34600,0.28218177073138906,0.2575722543352601,0.5672097759674134,0.35426935919860075,0.3096847824030577,0.7406877208593072,0.5810920945395273,0.4217908987114663,0.35508073723699235,0.1012271060645055,0.33961453540703895,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,final_style_2025,2023,2024,2025,3407,test,platt,lightgbm_no_8w_formula_features,57,69,20.887141942977905,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,15858,0.12689039320178597,0.5151401698561143,32493,0.25999807960055693,0.2627642876927338,0.5384033295497541,0.3531674629273438,0.28897963978281543,0.7375807086251862,0.488,0.3965434469515122,0.3450152024323892,0.17457458444043372,0.5225067135416119,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,final_style_2025,2023,2024,2025,7777,validation,uncalibrated,lightgbm_no_8w_formula_features,57,69,24.804863214492798,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,15712,0.12813988386507472,0.5151401698561143,33513,0.2733166960266197,0.26073464028884313,0.5561354378818737,0.3550228542407313,0.31357910872425104,0.7418346842639942,0.5900570497147515,0.42961996411678355,0.35858750611645734,0.17832239836763808,0.530917598670429,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,final_style_2025,2023,2024,2025,7777,test,uncalibrated,lightgbm_no_8w_formula_features,57,69,24.804863214492798,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,15858,0.12689039320178597,0.17110973725464415,32493,0.25999807960055693,0.2627642876927338,0.5384033295497541,0.3531674629273438,0.28897963978281543,0.7375807086251862,0.488,0.3965434469515122,0.3450152024323892,0.10114983661736743,0.3395000222347189,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,final_style_2025,2023,2024,2025,7777,validation,platt,lightgbm_no_8w_formula_features,57,69,24.804863214492798,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,15712,0.12813988386507472,0.17110973725464415,33513,0.2733166960266197,0.26073464028884313,0.5561354378818737,0.3550228542407313,0.31357910872425104,0.7418346842639942,0.5900570497147515,0.42961996411678355,0.35858750611645734,0.10104893078092929,0.3390638663594228,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,final_style_2025,2023,2024,2025,7777,test,platt,lightgbm_no_8w_formula_features,57,69,24.804863214492798,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.5451719983738332,28744,0.22999983996671308,0.2666991372112441,0.5589500546846519,0.36110129772250876,0.29385265114579057,0.7805600403536972,0.488,0.390622499599936,0.33637381981116976,0.16438277302533594,0.48548325563586076,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,42,validation,uncalibrated,lightgbm_no_8w_formula_features,57,69,24.613667249679565,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.5451719983738332,29566,0.24112676975272396,0.26347831969153757,0.5743990561864032,0.36125023186792804,0.3165151742185692,0.7854748927678601,0.5696821515892421,0.41803947153808513,0.3514108628282499,0.1675938103203304,0.4928450282709206,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,42,test,uncalibrated,lightgbm_no_8w_formula_features,57,69,24.613667249679565,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.16681182897574026,28744,0.22999983996671308,0.2666991372112441,0.5589500546846519,0.36110129772250876,0.29385265114579057,0.7805600403536972,0.488,0.390622499599936,0.33637381981116976,0.08720189338323481,0.29460476643293787,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,42,validation,platt,lightgbm_no_8w_formula_features,57,69,24.613667249679565,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.16681182897574026,29566,0.24112676975272396,0.26347831969153757,0.5743990561864032,0.36125023186792804,0.3165151742185692,0.7854748927678601,0.5696821515892421,0.41803947153808513,0.3514108628282499,0.08691187443484587,0.29331224867931915,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,42,test,platt,lightgbm_no_8w_formula_features,57,69,24.613667249679565,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.588007263829096,24995,0.20000160033286923,0.28009601920384075,0.5104629967189209,0.361715319039008,0.2960780261308007,0.7813704752266749,0.492,0.3914226276204193,0.3407745239238278,0.17165735385088657,0.5019574752722991,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,123,validation,uncalibrated,lightgbm_no_8w_formula_features,57,69,21.059160709381104,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.588007263829096,25887,0.21112252887062047,0.27774558658786264,0.5301577938357175,0.3645212806408274,0.31970555122044786,0.7866540820048677,0.589242053789731,0.42391127059207306,0.3541836568259664,0.17527609846421335,0.5101322843658297,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,123,test,uncalibrated,lightgbm_no_8w_formula_features,57,69,21.059160709381104,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.18710273299475771,24995,0.20000160033286923,0.28009601920384075,0.5104629967189209,0.361715319039008,0.2960780261308007,0.7813704752266749,0.492,0.3914226276204193,0.3407745239238278,0.08705591065820306,0.2940114649586659,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,123,validation,platt,lightgbm_no_8w_formula_features,57,69,21.059160709381104,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.18710273299475771,25887,0.21112252887062047,0.27774558658786264,0.5301577938357175,0.3645212806408274,0.31970555122044786,0.7866540820048677,0.589242053789731,0.42391127059207306,0.3541836568259664,0.08676777129334573,0.29264287878967776,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,123,test,platt,lightgbm_no_8w_formula_features,57,69,21.059160709381104,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.5817344001639302,27495,0.22000576119832926,0.2720858337879615,0.5454611738971928,0.36306721669497694,0.29835602802272637,0.7823578902153854,0.492,0.394783165306449,0.3434149463914226,0.17626561357758402,0.5126360536436881,T2_min_count_3,T0 AND count_t+1 >= 3,final_style_2025,2023,2024,2025,2026,validation,uncalibrated,lightgbm_no_8w_formula_features,57,69,25.779765605926514,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
