complaint_category,category_rank,feature,feature_group,mean_abs_shap,rows
noise,29,pct_change_1w,historical_temporal,0.0186131511139935,2778
noise,30,weather_prcp_max,weather,0.018247857125716884,2778
other,1,rolling_8w_std,historical_temporal,0.7457638674825877,2777
other,2,ratio_to_8w_mean,historical_temporal,0.43409907919123725,2777
other,3,complaint_category,semantic_category,0.20779408065825003,2777
other,4,lag_52w_count,historical_temporal,0.12734835937761704,2777
other,5,week_of_year,calendar,0.11945470061934994,2777
other,6,rolling_4w_mean,historical_temporal,0.11286388968005404,2777
other,7,rolling_12w_std,historical_temporal,0.08629306609572603,2777
other,8,lag_1w_count,historical_temporal,0.07426113006780816,2777
other,9,complaint_count,current_demand,0.0741353209421466,2777
other,10,history_weeks_available,historical_temporal,0.06802001981963507,2777
other,11,lag_12w_count,historical_temporal,0.0534559791095044,2777
other,12,rolling_12w_mean,historical_temporal,0.051644858078329726,2777
other,13,poi_semantic_entropy,osm_poi_context,0.04687206822026646,2777
other,14,lag_8w_count,historical_temporal,0.04498764649897802,2777
other,15,rolling_8w_mean,historical_temporal,0.042511163242980786,2777
other,16,poi_named_count,osm_poi_context,0.04056563435763479,2777
other,17,lag_2w_count,historical_temporal,0.039142848667872376,2777
other,18,pluto_lot_count,pluto_built_environment,0.037778370535998244,2777
other,19,pluto_total_buildings,pluto_built_environment,0.03460933687657706,2777
other,20,ratio_to_12w_mean,historical_temporal,0.03429888749737489,2777
other,21,diff_4w_count,historical_temporal,0.03147254091445507,2777
other,22,weather_tmin_mean,weather,0.02985084162481126,2777
other,23,month,calendar,0.029758801579116513,2777
other,24,pluto_total_residential_area,pluto_built_environment,0.025212752025338986,2777
other,25,pluto_parcel_density_per_km2,pluto_built_environment,0.025000578203560452,2777
other,26,rolling_4w_sum,historical_temporal,0.021285678156943738,2777
other,27,rolling_4w_std,historical_temporal,0.021001874565174158,2777
other,28,weather_awnd_mean,weather,0.01903263359305712,2777
other,29,pct_change_1w,historical_temporal,0.01828968857809293,2777
other,30,weather_prcp_max,weather,0.01787283847491,2777
parking_traffic,1,rolling_8w_std,historical_temporal,0.7299290546570518,2778
parking_traffic,2,ratio_to_8w_mean,historical_temporal,0.43448428608732786,2778
parking_traffic,3,complaint_category,semantic_category,0.21036496887981826,2778
parking_traffic,4,lag_52w_count,historical_temporal,0.12855750425372237,2778
parking_traffic,5,week_of_year,calendar,0.1227699628859296,2778
parking_traffic,6,rolling_4w_mean,historical_temporal,0.11220804853920613,2778
parking_traffic,7,rolling_12w_std,historical_temporal,0.08130553670327592,2778
parking_traffic,8,lag_1w_count,historical_temporal,0.07299801694508695,2778
parking_traffic,9,complaint_count,current_demand,0.07288000231713249,2778
parking_traffic,10,history_weeks_available,historical_temporal,0.07039112339571951,2778
parking_traffic,11,lag_12w_count,historical_temporal,0.05171183943680499,2778
parking_traffic,12,rolling_12w_mean,historical_temporal,0.05102462016896224,2778
parking_traffic,13,poi_semantic_entropy,osm_poi_context,0.04647749308859488,2778
parking_traffic,14,lag_8w_count,historical_temporal,0.042779319788536975,2778
parking_traffic,15,rolling_8w_mean,historical_temporal,0.04225583252517602,2778
parking_traffic,16,poi_named_count,osm_poi_context,0.040069726182048515,2778
parking_traffic,17,pluto_lot_count,pluto_built_environment,0.03967447181227948,2778
parking_traffic,18,lag_2w_count,historical_temporal,0.037875185821719885,2778
parking_traffic,19,ratio_to_12w_mean,historical_temporal,0.03385369269297312,2778
parking_traffic,20,pluto_total_buildings,pluto_built_environment,0.03351640794929127,2778
parking_traffic,21,diff_4w_count,historical_temporal,0.03076660056836815,2778
parking_traffic,22,month,calendar,0.03064349513439118,2778
parking_traffic,23,weather_tmin_mean,weather,0.029856813354128604,2778
parking_traffic,24,pluto_parcel_density_per_km2,pluto_built_environment,0.02535751398119341,2778
parking_traffic,25,pluto_total_residential_area,pluto_built_environment,0.02447884569762287,2778
parking_traffic,26,rolling_4w_sum,historical_temporal,0.021358083035930904,2778
parking_traffic,27,rolling_4w_std,historical_temporal,0.019624672196759136,2778
parking_traffic,28,weather_awnd_mean,weather,0.019169429057844124,2778
parking_traffic,29,pct_change_1w,historical_temporal,0.018130630697716362,2778
parking_traffic,30,weather_prcp_max,weather,0.017819123145518354,2778
public_safety,1,rolling_8w_std,historical_temporal,0.742640090281808,2777
public_safety,2,ratio_to_8w_mean,historical_temporal,0.43451390438760196,2777
public_safety,3,complaint_category,semantic_category,0.20284476611178692,2777
public_safety,4,lag_52w_count,historical_temporal,0.1233987607506534,2777
public_safety,5,week_of_year,calendar,0.12326775325645534,2777
public_safety,6,rolling_4w_mean,historical_temporal,0.11292340856444262,2777
public_safety,7,rolling_12w_std,historical_temporal,0.08387217688297956,2777
public_safety,8,complaint_count,current_demand,0.0725512281272026,2777
public_safety,9,lag_1w_count,historical_temporal,0.07199541175234837,2777
public_safety,10,history_weeks_available,historical_temporal,0.07019215616829373,2777
public_safety,11,lag_12w_count,historical_temporal,0.05282571560491856,2777
public_safety,12,rolling_12w_mean,historical_temporal,0.050278838207662976,2777
public_safety,13,poi_semantic_entropy,osm_poi_context,0.04704892817725895,2777
public_safety,14,lag_8w_count,historical_temporal,0.042306265604049764,2777
public_safety,15,rolling_8w_mean,historical_temporal,0.04228785232701126,2777
public_safety,16,poi_named_count,osm_poi_context,0.040385620177281464,2777
public_safety,17,pluto_lot_count,pluto_built_environment,0.040100774106921776,2777
public_safety,18,lag_2w_count,historical_temporal,0.03814700035661379,2777
public_safety,19,ratio_to_12w_mean,historical_temporal,0.03398961007533316,2777
public_safety,20,pluto_total_buildings,pluto_built_environment,0.033832485419241234,2777
public_safety,21,month,calendar,0.030785445396312713,2777
public_safety,22,diff_4w_count,historical_temporal,0.03068070262671341,2777
public_safety,23,weather_tmin_mean,weather,0.030211306529752707,2777
public_safety,24,pluto_parcel_density_per_km2,pluto_built_environment,0.0257696273883074,2777
public_safety,25,pluto_total_residential_area,pluto_built_environment,0.024606668552819788,2777
public_safety,26,rolling_4w_sum,historical_temporal,0.021427673760371097,2777
public_safety,27,rolling_4w_std,historical_temporal,0.020404552395683367,2777
public_safety,28,weather_awnd_mean,weather,0.018903381786324655,2777
public_safety,29,weather_prcp_max,weather,0.018479176943628495,2777
public_safety,30,pct_change_1w,historical_temporal,0.017797704467984978,2777
sanitation,1,rolling_8w_std,historical_temporal,0.7504731936287188,2778
sanitation,2,ratio_to_8w_mean,historical_temporal,0.4303110613947973,2778
sanitation,3,complaint_category,semantic_category,0.20540345822469672,2778
sanitation,4,lag_52w_count,historical_temporal,0.12514133569289523,2778
