file,output,status,chunksize,chunk_count,total_raw_rows,total_after_clean,total_removed_bad_coord,total_matched_nta,total_unmatched_nta,match_rate_after_clean,elapsed_seconds
data\raw\nyc_311\nyc_311_2016_01_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_01_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49996,4,0.99992,0.6568257808685303
data\raw\nyc_311\nyc_311_2016_01_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_01_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49988,12,0.99976,0.6378440856933594
data\raw\nyc_311\nyc_311_2016_01_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_01_part003_with_nta.csv.gz,done,100000,1,45314,45314,0,45307,7,0.999845522355122,0.5903382301330566
data\raw\nyc_311\nyc_311_2016_02_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_02_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49985,15,0.9997,0.6687195301055908
data\raw\nyc_311\nyc_311_2016_02_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_02_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49995,5,0.9999,0.6421117782592773
data\raw\nyc_311\nyc_311_2016_02_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_02_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49982,18,0.99964,0.6529097557067871
data\raw\nyc_311\nyc_311_2016_02_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_02_part003_with_nta.csv.gz,done,100000,1,31808,31808,0,31801,7,0.9997799295774648,0.4318666458129883
data\raw\nyc_311\nyc_311_2016_03_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_03_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49991,9,0.99982,0.6416058540344238
data\raw\nyc_311\nyc_311_2016_03_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_03_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49986,14,0.99972,0.657954216003418
data\raw\nyc_311\nyc_311_2016_03_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_03_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49993,7,0.99986,0.6659905910491943
