column,missing_count,missing_share,dtype_example,feature_group
poi_industrial_logistics_density_per_km2,0,0.0,float64,osm_poi
poi_industrial_logistics_share,0,0.0,float64,osm_poi
poi_log1p_density_per_km2,0,0.0,float64,osm_poi
poi_log1p_total_count,0,0.0,float64,osm_poi
poi_mixed_use_index,0,0.0,float64,osm_poi
poi_mobility_access_count,0,0.0,int64,osm_poi
poi_mobility_access_density_per_km2,0,0.0,float64,osm_poi
poi_mobility_access_share,0,0.0,float64,osm_poi
poi_named_count,0,0.0,int64,osm_poi
poi_named_share,0,0.0,float64,osm_poi
poi_office_work_count,0,0.0,int64,osm_poi
poi_office_work_density_per_km2,0,0.0,float64,osm_poi
poi_office_work_share,0,0.0,float64,osm_poi
poi_osm_tag_amenity_count,0,0.0,int64,osm_poi
poi_osm_tag_amenity_share,0,0.0,float64,osm_poi
poi_osm_tag_highway_count,0,0.0,int64,osm_poi
poi_osm_tag_highway_share,0,0.0,float64,osm_poi
poi_osm_tag_leisure_count,0,0.0,int64,osm_poi
poi_osm_tag_leisure_share,0,0.0,float64,osm_poi
poi_osm_tag_public_transport_count,0,0.0,int64,osm_poi
poi_osm_tag_public_transport_share,0,0.0,float64,osm_poi
poi_osm_tag_railway_count,0,0.0,int64,osm_poi
poi_osm_tag_railway_share,0,0.0,float64,osm_poi
poi_osm_tag_shop_count,0,0.0,int64,osm_poi
poi_osm_tag_shop_share,0,0.0,float64,osm_poi
poi_osm_tag_tourism_count,0,0.0,int64,osm_poi
poi_osm_tag_tourism_share,0,0.0,float64,osm_poi
poi_other_count,0,0.0,int64,osm_poi
poi_other_density_per_km2,0,0.0,float64,osm_poi
poi_other_share,0,0.0,float64,osm_poi
poi_public_service_count,0,0.0,int64,osm_poi
poi_public_service_density_per_km2,0,0.0,float64,osm_poi
poi_public_service_share,0,0.0,float64,osm_poi
poi_recreation_environment_count,0,0.0,int64,osm_poi
poi_recreation_environment_density_per_km2,0,0.0,float64,osm_poi
poi_recreation_environment_share,0,0.0,float64,osm_poi
poi_recreation_green_count,0,0.0,int64,osm_poi
poi_recreation_green_density_per_km2,0,0.0,float64,osm_poi
poi_recreation_green_share,0,0.0,float64,osm_poi
poi_religion_count,0,0.0,int64,osm_poi
poi_religion_density_per_km2,0,0.0,float64,osm_poi
poi_religion_share,0,0.0,float64,osm_poi
poi_retail_count,0,0.0,int64,osm_poi
poi_retail_density_per_km2,0,0.0,float64,osm_poi
poi_retail_share,0,0.0,float64,osm_poi
poi_safety_public_service_count,0,0.0,int64,osm_poi
poi_safety_public_service_density_per_km2,0,0.0,float64,osm_poi
poi_safety_public_service_share,0,0.0,float64,osm_poi
poi_semantic_entropy,0,0.0,float64,osm_poi
poi_semantic_entropy_norm,0,0.0,float64,osm_poi
poi_semantic_hhi,0,0.0,float64,osm_poi
poi_social_infrastructure_count,0,0.0,int64,osm_poi
poi_social_infrastructure_density_per_km2,0,0.0,float64,osm_poi
poi_social_infrastructure_share,0,0.0,float64,osm_poi
poi_total_count,0,0.0,int64,osm_poi
poi_transport_count,0,0.0,int64,osm_poi
poi_transport_density_per_km2,0,0.0,float64,osm_poi
poi_transport_share,0,0.0,float64,osm_poi
poi_unique_raw_type_count,0,0.0,int64,osm_poi
poi_unique_semantic_category_count,0,0.0,int64,osm_poi
poi_with_any_detected_tag_count,0,0.0,int64,osm_poi
poi_with_any_detected_tag_share,0,0.0,float64,osm_poi
poi_with_valid_coordinate_count,0,0.0,int64,osm_poi
poi_with_valid_coordinate_share,0,0.0,float64,osm_poi
quarter,0,0.0,int64,calendar_period
rain_day_count,0,0.0,float64,weather
snow_day_count,0,0.0,float64,weather
time_split,0,0.0,object,id_metadata
very_cold_day_minus5c_count,0,0.0,float64,other
very_heavy_rain_day_50mm_count,0,0.0,float64,other
weather_awnd_max,0,0.0,float64,weather
weather_awnd_mean,0,0.0,float64,weather
weather_complete_week_flag,0,0.0,int8,weather
weather_days_missing_in_week,0,0.0,int64,weather
weather_days_observed,0,0.0,int64,weather
weather_incomplete_week_flag,0,0.0,int8,weather
weather_iso_year,0,0.0,int64,weather
