nta2020,nta_area_km2_osm,nta_area_km2_pluto,area_abs_diff_km2
BX0291,0.0864105118393841,0.0864105118393841,0.0
BX0301,1.2823712541704946,1.2823712541704946,0.0
BX0302,0.9283415773190684,0.9283415773190684,0.0
BX0303,1.4831702323379004,1.4831702323379004,0.0
BX0391,0.5886440713209004,0.5886440713209004,0.0
BX0401,2.460773432988684,2.460773432988684,0.0
BX0402,1.2115815435782,1.2115815435782,0.0
BX0403,1.2634405635255097,1.2634405635255097,0.0
BX0491,0.2610027767368684,0.2610027767368684,0.0
BX0492,0.1728965588406266,0.1728965588406266,0.0
BX0501,1.8233156427096189,1.8233156427096189,0.0
BX0502,1.1774962502054418,1.1774962502054418,0.0
BX0503,0.6851418456089123,0.6851418456089123,0.0
BX0601,1.0864664331953215,1.0864664331953215,0.0
BX0602,1.4697486409908034,1.4697486409908034,0.0
BX0603,1.5221816602455298,1.5221816602455298,0.0
BX0701,1.700783966160686,1.700783966160686,0.0
BX0702,2.2798103305282416,2.2798103305282416,0.0
BX0703,1.4597135300870987,1.4597135300870987,0.0
BX0801,1.0185640103944744,1.0185640103944744,0.0
BX0802,1.143206808622769,1.143206808622769,0.0
BX0803,5.847948399376152,5.847948399376152,0.0
BX0901,2.990533981902419,2.990533981902419,0.0
BX0902,2.815586109611582,2.815586109611582,0.0
BX0903,3.05474636585597,3.05474636585597,0.0
BX0904,0.8527769245661461,0.8527769245661461,0.0
BX0991,0.7237159195595613,0.7237159195595613,0.0
BX1001,1.4282293342828831,1.4282293342828831,0.0
BX1002,6.172591814125839,6.172591814125839,0.0
BX1003,3.278611911742181,3.278611911742181,0.0
BX1004,2.697702263588172,2.697702263588172,0.0
BX1071,0.4554663051127607,0.4554663051127607,0.0
BX1091,2.0189810862880773,2.0189810862880773,0.0
BX1101,1.4473937434513446,1.4473937434513446,0.0
BX1102,2.5843586008594763,2.5843586008594763,0.0
BX1103,2.791438578505492,2.791438578505492,0.0
BX1104,1.4627827307749155,1.4627827307749155,0.0
BX1161,1.1310644064490225,1.1310644064490225,0.0
BX1201,3.36513570188447,3.36513570188447,0.0
BX1202,5.236438930290911,5.236438930290911,0.0
BX1203,3.681258175831356,3.681258175831356,0.0
BX1271,1.6607525835567698,1.6607525835567698,0.0
BX2691,4.703661327025241,4.703661327025241,0.0
BX2791,3.1068731379541954,3.1068731379541954,0.0
BX2891,9.218896706642177,9.218896706642177,0.0
MN0101,1.7851160182466994,1.7851160182466994,0.0
MN0102,1.2606815403534308,1.2606815403534308,0.0
MN0191,1.1135099316230264,1.1135099316230264,0.0
MN0201,1.19926769513854,1.19926769513854,0.0
MN0202,0.9844401173337026,0.9844401173337026,0.0
MN0203,1.338545038430027,1.338545038430027,0.0
MN0301,1.0715722168852553,1.0715722168852553,0.0
MN0302,1.5296647208076537,1.5296647208076537,0.0
MN0303,1.762238052788601,1.762238052788601,0.0
MN0401,2.7549042083969866,2.7549042083969866,0.0
MN0402,1.706731408710108,1.706731408710108,0.0
MN0501,1.3814631103374642,1.3814631103374642,0.0
MN0502,2.279622582912807,2.279622582912807,0.0
MN0601,0.5176727379580639,0.5176727379580639,0.0
MN0602,0.69876281098977,0.69876281098977,0.0
MN0603,1.4643013542961802,1.4643013542961802,0.0
MN0604,1.2198795938974307,1.2198795938974307,0.0
MN0661,0.101319431914093,0.101319431914093,0.0
MN0701,1.466734899408067,1.466734899408067,0.0
MN0702,2.359304573616644,2.359304573616644,0.0
MN0703,1.2256265353460825,1.2256265353460825,0.0
MN0801,1.996311343752716,1.996311343752716,0.0
MN0802,1.863018088576119,1.863018088576119,0.0
MN0803,1.266906508155975,1.266906508155975,0.0
MN0901,1.478392936921861,1.478392936921861,0.0
MN0902,0.996703226514024,0.996703226514024,0.0
MN0903,1.484044153851063,1.484044153851063,0.0
MN1001,1.3394586823551151,1.3394586823551151,0.0
MN1002,2.2091277751749074,2.2091277751749074,0.0
MN1101,1.5462855505914357,1.5462855505914357,0.0
MN1102,2.425135435443344,2.425135435443344,0.0
MN1191,2.1788412289466854,2.1788412289466854,0.0
MN1201,1.9523827038146504,1.9523827038146504,0.0
MN1202,2.2999831714302528,2.2999831714302528,0.0
MN1203,1.3404589491575345,1.3404589491575345,0.0
MN1291,0.719897505022451,0.719897505022451,0.0
MN1292,0.9291982049618251,0.9291982049618251,0.0
MN6491,3.5572050080525024,3.5572050080525024,0.0
QN0101,5.413332993251407,5.413332993251407,0.0
