score_col,model_label,global_threshold_fallback,complaint_category,threshold,threshold_strategy,note,validation_rows,validation_positive_rows,validation_f1,validation_precision,validation_recall,validation_pr_auc,validation_roc_auc,validation_predicted_positive_share
xgb_score,Tuned XGBoost,0.345,water_sewer,0.338907,best_f1,Max validation F1.,13624,1659,0.39205243752560426,0.29692832764505117,0.5768535262206148,0.35048289933350857,0.784922217629428,0.2365678214914856
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.353894,environment,0.327079,best_f1,Max validation F1.,13624,1495,0.34887664264518864,0.25535215637604713,0.5505016722408027,0.2790656921872101,0.760040103999067,0.2365678214914856
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.353894,housing,0.342789,best_f1,Max validation F1.,13624,1626,0.38333702636826944,0.29961898164184275,0.531980319803198,0.3694693321365525,0.7787063526577923,0.21190546095126248
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.353894,infrastructure,0.351093,best_f1,Max validation F1.,13624,1734,0.35362543621558745,0.26635514018691586,0.5259515570934256,0.28214419590626405,0.7313292842986895,0.25132119788608337
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.353894,noise,0.393213,best_f1,Max validation F1.,13624,1884,0.40476190476190477,0.3375886524822695,0.505307855626327,0.34187926879304514,0.76298860303027,0.20698766881972988
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.353894,other,0.315,best_f1,Max validation F1.,13624,1802,0.38239971726453437,0.28052890847809175,0.6004439511653719,0.31641362046601423,0.7576555946127265,0.28310334703464474
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.353894,parking_traffic,0.35,best_f1,Max validation F1.,13624,1884,0.3768056968463886,0.30550973276146487,0.49150743099787686,0.31433691279368364,0.7374297862028305,0.22247504403992954
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.353894,public_safety,0.356324,best_f1,Max validation F1.,13624,1839,0.4039223868141039,0.3276912660798917,0.5263730288200109,0.3206724588368316,0.7752196493132002,0.21682325308279507
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.353894,sanitation,0.338017,best_f1,Max validation F1.,13624,1651,0.3528929011079196,0.2668321439652498,0.5208964264082374,0.2749453707792391,0.7464761592849002,0.2365678214914856
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.353894,water_sewer,0.38,best_f1,Max validation F1.,13624,1659,0.3909914093336429,0.31797583081570996,0.5075346594333936,0.35198461053437785,0.7858500292318338,0.19436288901937757
