rows,positive_rows,positive_share,threshold,predicted_positive_rows,alert_rate,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp,precision_at_1pct,precision_at_5pct,precision_at_10pct,fold_id,target_definition,description,split,train_end_year,validation_year,test_year,model_name,raw_feature_count,model_feature_count,validation_selected_f1,fit_seconds,removed_formula_aligned_features
124974,13715,0.10974282650791364,0.5451719983738332,28744,0.22999983996671308,0.2666991372112441,0.5589500546846519,0.36110129772250876,0.29385265114579057,0.7805600403536972,90181,21078,6049,7666,0.488,0.390622499599936,0.33637381981116976,final_style_2025,T2_min_count_3,T0 AND count_t+1 >= 3,validation,2023,2024,2025,lightgbm_no_8w_formula_features,57,69,0.36110129772250876,18.563631296157837,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.5451719983738332,29566,0.24112676975272396,0.26347831969153757,0.5743990561864032,0.36125023186792804,0.3165151742185692,0.7854748927678601,87278,21776,5772,7790,0.5696821515892421,0.41803947153808513,0.3514108628282499,final_style_2025,T2_min_count_3,T0 AND count_t+1 >= 3,test,2023,2024,2025,lightgbm_no_8w_formula_features,57,69,0.36110129772250876,18.563631296157837,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
89786,14484,0.16131690909495913,0.55,23010,0.2562760341255875,0.35336810082572795,0.5613780723557028,0.43372272896996855,0.4056230472685978,0.7620211162826404,60423,14879,6353,8131,0.7182628062360802,0.5661469933184855,0.4808998774919256,fold_2021,T3_mu8w_ge_1_eligible,"Evaluate only rows with mu_8w >= 1, target remains T0 within eligible rows",validation,2019,2020,2021,lightgbm_no_8w_formula_features,57,69,0.43372272896996855,8.869651556015015,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
92458,13182,0.1425728438858725,0.55,23045,0.24924830733954878,0.295118246908223,0.5159308147473828,0.3754658127915643,0.317182997118266,0.7333776237458483,63032,16244,6381,6801,0.5232432432432432,0.44430023794073115,0.3853558295479126,fold_2021,T3_mu8w_ge_1_eligible,"Evaluate only rows with mu_8w >= 1, target remains T0 within eligible rows",test,2019,2020,2021,lightgbm_no_8w_formula_features,57,69,0.43372272896996855,8.869651556015015,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
92458,13182,0.1425728438858725,0.65,22134,0.23939518484068442,0.2940724676967561,0.49377939614626004,0.3686147921621928,0.3115682616574684,0.7273498379496941,63651,15625,6673,6509,0.5578378378378378,0.4285096257841229,0.3709712308025092,fold_2022,T3_mu8w_ge_1_eligible,"Evaluate only rows with mu_8w >= 1, target remains T0 within eligible rows",validation,2020,2021,2022,lightgbm_no_8w_formula_features,57,69,0.3686147921621928,22.91971445083618,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
94130,12685,0.13476043769255286,0.65,22256,0.23643896738553066,0.27664450035945365,0.48537642885297594,0.3524226553332761,0.2853753676670658,0.7213029282162096,65346,16099,6528,6157,0.4819532908704883,0.38644571914170384,0.34335493466482525,fold_2022,T3_mu8w_ge_1_eligible,"Evaluate only rows with mu_8w >= 1, target remains T0 within eligible rows",test,2020,2021,2022,lightgbm_no_8w_formula_features,57,69,0.3686147921621928,22.91971445083618,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
94130,12685,0.13476043769255286,0.5266891615768576,25415,0.26999893763943483,0.261735195750541,0.5243988963342531,0.34918635170603674,0.2942598693390295,0.7170070431371003,62682,18763,6033,6652,0.529723991507431,0.4164011047376248,0.3512164028471263,fold_2023,T3_mu8w_ge_1_eligible,"Evaluate only rows with mu_8w >= 1, target remains T0 within eligible rows",validation,2021,2022,2023,lightgbm_no_8w_formula_features,57,69,0.34918635170603674,29.59785509109497,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
92803,12548,0.13521114619139468,0.5266891615768576,23449,0.2526750212816396,0.26747409271184275,0.499840612049729,0.34847348390143623,0.28783189935887155,0.719791284502834,63078,17177,6276,6272,0.49946178686759957,0.398620986856281,0.34414395000538733,fold_2023,T3_mu8w_ge_1_eligible,"Evaluate only rows with mu_8w >= 1, target remains T0 within eligible rows",test,2021,2022,2023,lightgbm_no_8w_formula_features,57,69,0.34918635170603674,29.59785509109497,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
92803,12548,0.13521114619139468,0.5233078334665924,27841,0.3000010775513723,0.2615566969577242,0.5803315269365636,0.3605932308301765,0.3079014587304595,0.7309446070122317,59696,20559,5266,7282,0.5769644779332616,0.42038353803059686,0.359120784398233,fold_2024,T3_mu8w_ge_1_eligible,"Evaluate only rows with mu_8w >= 1, target remains T0 within eligible rows",validation,2022,2023,2024,lightgbm_no_8w_formula_features,57,69,0.3605932308301765,34.00087881088257,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
95444,13016,0.1363731612254306,0.5233078334665924,26467,0.27730396881941244,0.2762685608493596,0.5617701290719115,0.3703872552744219,0.31523957826316173,0.7412022463425569,63273,19155,5704,7312,0.5287958115183246,0.4276136601717997,0.3723415400733368,fold_2024,T3_mu8w_ge_1_eligible,"Evaluate only rows with mu_8w >= 1, target remains T0 within eligible rows",test,2022,2023,2024,lightgbm_no_8w_formula_features,57,69,0.3605932308301765,34.00087881088257,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
95444,13016,0.1363731612254306,0.4860378297576162,25770,0.27000125728175683,0.27586340706247575,0.5461739397664414,0.3665755685040994,0.3012250716862301,0.7344450938598657,63767,18661,5907,7109,0.5005235602094241,0.40812905929185,0.3571503404924044,final_style_2025,T3_mu8w_ge_1_eligible,"Evaluate only rows with mu_8w >= 1, target remains T0 within eligible rows",validation,2023,2024,2025,lightgbm_no_8w_formula_features,57,69,0.3665755685040994,38.59812688827515,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
93979,12884,0.13709445727236935,0.4860378297576162,27172,0.28912842230711117,0.27163992345061094,0.5728810928283142,0.3685340523267426,0.32612932435357167,0.7403297794532646,61304,19791,5503,7381,0.6212765957446809,0.44243456054479674,0.37678229410512876,final_style_2025,T3_mu8w_ge_1_eligible,"Evaluate only rows with mu_8w >= 1, target remains T0 within eligible rows",test,2023,2024,2025,lightgbm_no_8w_formula_features,57,69,0.3665755685040994,38.59812688827515,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
