complaint_type,complaint_category,complaint_count,share_of_all_requests,rank_within_category
Retailer Complaint,other,53,1.7129857474091332e-06,44
Stalled Sites,other,51,1.6483447758087886e-06,45
Unspecified,other,42,1.3574604036072377e-06,46
Single Occupancy Bathroom,other,39,1.2604989462067208e-06,47
Transfer Station Complaint,other,39,1.2604989462067208e-06,48
Wayfinding,other,32,1.0342555456055144e-06,49
DOF Property - Reduction Issue,other,28,9.049736024048252e-07,50
Oil or Gas Spill,other,27,8.726531166046528e-07,51
Ferry Inquiry,other,23,7.433711734039636e-07,52
Taxpayer Advocate Inquiry,other,23,7.433711734039636e-07,53
Internal Code,other,22,7.110506876037911e-07,54
SRDE,other,22,7.110506876037911e-07,55
Ferry Complaint,other,21,6.787302018036188e-07,56
Interior Demo,other,20,6.464097160034465e-07,57
Fire Alarm - Reinspection,other,16,5.171277728027572e-07,58
Advocate - Lien,other,13,4.2016631540224023e-07,59
Advocate-Commercial Exemptions,other,13,4.2016631540224023e-07,60
DSNY Internal,other,13,4.2016631540224023e-07,61
SNW,other,12,3.8784582960206793e-07,62
ZTESTINT,other,12,3.8784582960206793e-07,63
Trans Fat,other,11,3.5552534380189557e-07,64
Fire Alarm - New System,other,9,2.9088437220155096e-07,65
Leaning Bar,other,9,2.9088437220155096e-07,66
Rangehood,other,9,2.9088437220155096e-07,67
Advocate-Business Tax,other,8,2.585638864013786e-07,68
AGENCY,other,6,1.9392291480103396e-07,69
Employee Behavior,other,6,1.9392291480103396e-07,70
VACANT APARTMENT,other,6,1.9392291480103396e-07,71
Fire Alarm - Modification,other,4,1.292819432006893e-07,72
SRGOVG,other,4,1.292819432006893e-07,73
Sprinkler - Mechanical,other,3,9.696145740051698e-08,74
Advocate - Levy,other,2,6.464097160034465e-08,75
Gas Station Discharge Lines,other,2,6.464097160034465e-08,76
Homebound Evacuation 4,other,2,6.464097160034465e-08,77
ZSYSTEST,other,2,6.464097160034465e-08,78
Advocate - Other,other,1,3.2320485800172325e-08,79
Advocate-Foreclosure,other,1,3.2320485800172325e-08,80
Advocate-Personal Exemptions,other,1,3.2320485800172325e-08,81
Advocate-UBT,other,1,3.2320485800172325e-08,82
Ferry Permit,other,1,3.2320485800172325e-08,83
Illegal Animal - Sold/Kept,other,1,3.2320485800172325e-08,84
Injured Wildlife,other,1,3.2320485800172325e-08,85
MSOTHER,other,1,3.2320485800172325e-08,86
Illegal Parking,parking_traffic,3174076,0.10258767828666777,1
Blocked Driveway,parking_traffic,1562038,0.05048582699832958,2
Derelict Vehicles,parking_traffic,395810,0.012792771484566208,3
Abandoned Vehicle,parking_traffic,367493,0.01187755228816273,4
Traffic Signal Condition,parking_traffic,321070,0.01037713837586133,5
For Hire Vehicle Complaint,parking_traffic,135591,0.004382366990131166,6
Taxi Complaint,parking_traffic,106208,0.0034326941558647022,7
Street Sign - Damaged,parking_traffic,64053,0.002070224076958438,8
Traffic,parking_traffic,63678,0.002058103894783373,9
Broken Parking Meter,parking_traffic,57338,0.0018531920148102809,10
Broken Muni Meter,parking_traffic,55559,0.0017956938705717743,11
Street Sign - Missing,parking_traffic,50138,0.00162048451704904,12
Lost Property,parking_traffic,41930,0.0013551979696012257,13
Street Sign - Dangling,parking_traffic,34290,0.001108269458087909,14
Bike/Roller/Skate Chronic,parking_traffic,17650,0.0005704565743730415,15
Taxi Report,parking_traffic,14843,0.00047973297073195784,16
Derelict Bicycle,parking_traffic,12594,0.0004070441981673703,17
Sanitation Worker or Vehicle Complaint,parking_traffic,12553,0.00040571905824956324,18
Bus Stop Shelter Complaint,parking_traffic,11557,0.0003735278543925916,19
Abandoned Bike,parking_traffic,8791,0.0002841293906693149,20
For Hire Vehicle Report,parking_traffic,4428,0.00014311511112316305,21
Bus Stop Shelter Placement,parking_traffic,2098,6.780837920876154e-05,22
E-Scooter,parking_traffic,1863,6.021306504572104e-05,23
Green Taxi Complaint,parking_traffic,1787,5.775670812490795e-05,24
Bike Rack Condition,parking_traffic,1597,5.1615815822875204e-05,25
