feature_set,feature,mean_abs_shap,mean_signed_shap,importance_rank,mean_abs_shap_share
B_no_8w_formula_features,weather_tmax_station_max,0.005525791349894271,-0.002912885927776213,42,0.0020498009575778643
B_no_8w_formula_features,weather_snow_max,0.005419055050141805,-0.001782800203916168,43,0.0020102069599787493
B_no_8w_formula_features,rain_day_count,0.004912161793755675,-0.000982931809915272,44,0.0018221741124572932
B_no_8w_formula_features,quarter,0.004534797562869078,0.00013050104132282574,45,0.0016821902598563837
B_no_8w_formula_features,weather_prcp_station_max,0.004367179618378682,-7.425613594862587e-05,46,0.0016200121207686274
B_no_8w_formula_features,complaint_category=parking_traffic,0.004242621767620137,-0.00018767097039347385,47,0.0015738071909057595
B_no_8w_formula_features,cold_day_0c_count,0.0033234725117344873,3.865028300992953e-05,48,0.0012328473345573226
B_no_8w_formula_features,ice_day_tmax_0c_count,0.0030371000046433712,-0.00039748570804987074,49,0.001126617004439886
B_no_8w_formula_features,boroname=Staten Island,0.0024874339222148165,0.00014547891474398408,50,0.0009227175100929483
B_no_8w_formula_features,boroname=Bronx,0.002195768650194286,-0.00011710418900146875,51,0.0008145238205336545
B_no_8w_formula_features,weather_prcp_sum,0.002149291473700282,-0.0005587734910385573,52,0.0007972830391051723
B_no_8w_formula_features,is_year_end,0.0020805709035273804,0.0006005129690116505,53,0.0007717910359464925
B_no_8w_formula_features,weather_snwd_max,0.0017364697536922712,0.0009727507303628868,54,0.0006441461753693469
B_no_8w_formula_features,weather_snwd_mean,0.001734130344116231,0.0009548506943570872,55,0.0006432783677223525
B_no_8w_formula_features,weather_snow_mean,0.0014450246174684339,0.00016139965386861735,56,0.0005360341455286866
B_no_8w_formula_features,boroname=Queens,0.00137339248217873,1.4018218022633737e-05,57,0.0005094620927288661
B_no_8w_formula_features,iso_year,0.0012652926640892505,0.00046091710731735724,58,0.0004693622958666396
B_no_8w_formula_features,hot_day_30c_count,0.0011519093551253248,-0.0004081793884701024,59,0.0004273025797877745
B_no_8w_formula_features,heavy_rain_day_25mm_count,0.001146613451037561,-0.0005647321148078115,60,0.00042533805587020987
B_no_8w_formula_features,very_cold_day_minus5c_count,0.0008871948934701399,0.0006416509672788563,61,0.00032910633555283987
B_no_8w_formula_features,moderate_rain_day_10mm_count,0.0008758997233470221,0.0001989036929121382,62,0.00032491637450141243
B_no_8w_formula_features,snow_day_count,0.0006368853220366457,0.00016938085383454642,63,0.00023625360791137756
B_no_8w_formula_features,year,0.0006017991058833122,-0.0003784091881394903,64,0.00022323832106558252
B_no_8w_formula_features,weather_snow_sum,0.0002742565092570352,-5.24848832742649e-05,65,0.00010173588174077358
B_no_8w_formula_features,is_year_start,0.00016174153047100303,1.7416783906783118e-05,66,5.9998274101665977e-05
B_no_8w_formula_features,hot_day_35c_count,0.00013365853042238954,-2.755629436791827e-05,67,4.958084124068606e-05
B_no_8w_formula_features,very_heavy_rain_day_50mm_count,7.157334048320699e-05,6.236122800991285e-05,68,2.6550242774246505e-05
B_no_8w_formula_features,heavy_snow_day_25mm_count,5.1205748609442924e-05,4.367087897065634e-05,69,1.8994852662168615e-05
