nta2020,ntaname,boroname,borocode,cdta2020,cdtaname,nta_area_km2,pluto_avg_num_floors,pluto_building_area_to_lot_area_ratio,pluto_commercial_area_ratio,pluto_lot_area_commercial,pluto_lot_area_industrial,pluto_lot_area_mixed_use,pluto_lot_area_open_space,pluto_lot_area_parking,pluto_lot_area_public_facility,pluto_lot_area_ratio_commercial,pluto_lot_area_ratio_industrial,pluto_lot_area_ratio_mixed_use,pluto_lot_area_ratio_open_space,pluto_lot_area_ratio_parking,pluto_lot_area_ratio_public_facility,pluto_lot_area_ratio_residential,pluto_lot_area_ratio_transportation_utility,pluto_lot_area_ratio_unknown,pluto_lot_area_ratio_vacant,pluto_lot_area_residential,pluto_lot_area_transportation_utility,pluto_lot_area_unknown,pluto_lot_area_vacant,pluto_lot_count,pluto_lot_count_commercial,pluto_lot_count_industrial,pluto_lot_count_mixed_use,pluto_lot_count_open_space,pluto_lot_count_parking,pluto_lot_count_public_facility,pluto_lot_count_residential,pluto_lot_count_transportation_utility,pluto_lot_count_unknown,pluto_lot_count_vacant,pluto_office_area_ratio,pluto_parcel_count,pluto_parcel_density_per_km2,pluto_residential_area_ratio,pluto_retail_area_ratio,pluto_total_building_area,pluto_total_buildings,pluto_total_commercial_area,pluto_total_factory_area,pluto_total_garage_area,pluto_total_lot_area,pluto_total_office_area,pluto_total_other_area,pluto_total_residential_area,pluto_total_residential_units,pluto_total_retail_area,pluto_total_storage_area,pluto_total_units
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Brooklyn,3.0,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),5.6460771196296955,2.941426439868696,1.3401770546964211,0.3169231169185171,1961233.0,7560155.0,3348144.0,3193552.0,1898995.0,1621675.0,0.0508412171927109,0.195982569315099,0.0867942341865918,0.0827867320446966,0.0492278159927311,0.0420388250100776,0.3479902736570868,0.0551682473270055,0.0287948744868848,0.0603752107871157,13423951.0,2128151.0,1110781.0,2329013.0,7333.0,169.0,477.0,921.0,59.0,191.0,82.0,4927.0,90.0,103.0,314.0,0.0603441887658721,7333.0,1298.77786729221,0.6348734455962984,0.0518223835293611,51698201.0,7536.0,16384355.0,5526158.0,1038562.0,38575650.0,3119686.0,1900971.0,32821815.0,36338.0,2679124.0,2004656.0,39876.0
BK0602,Park Slope,Brooklyn,3.0,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),2.398369390044482,3.140554213228632,2.3415497450071,0.1634025845837529,423178.0,76683.0,2076531.0,204434.0,107657.0,1763514.0,0.0249722028174027,0.0045251488230647,0.1225383958727158,0.0120638769283207,0.006352958893688,0.1040669157643573,0.7166978186307746,0.0012997786729369,0.0015693414159668,0.005913562180772,12145134.0,22026.0,26594.0,100211.0,6728.0,72.0,9.0,823.0,13.0,17.0,87.0,5642.0,3.0,14.0,48.0,0.028022838716503,6728.0,2805.2392712847363,0.7248054067190286,0.0420019368538858,39679813.0,6876.0,6483784.0,19181.0,334255.0,16945962.0,1111941.0,3289736.0,28760143.0,32377.0,1666629.0,59770.0,36114.0
BK0701,Windsor Terrace-South Slope,Brooklyn,3.0,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),1.421681744946771,2.4242165684145207,1.531458132434506,0.1557900790773855,172853.0,166739.0,629258.0,370958.0,22911.0,640457.0,0.0185122869758441,0.0178574871021346,0.0673925513462059,0.03972902380627,0.0024537324021195,0.0685919467969212,0.7727942968794512,0.0044091357541293,0.0003891957378247,0.007870343199099,7215738.0,41169.0,3634.0,73487.0,3292.0,24.0,12.0,215.0,17.0,11.0,36.0,2938.0,2.0,1.0,36.0,0.0067181895469762,3292.0,2315.567469091513,0.7939418597958801,0.0254090045013345,14299537.0,3616.0,2227726.0,146316.0,157069.0,9337204.0,96067.0,1270138.0,11353001.0,12088.0,363337.0,194799.0,12940.0
BK0702,Sunset Park (West),Brooklyn,3.0,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),4.67742093710504,2.52792349726776,1.2143988259452585,0.5020558442490854,2813653.0,8164462.0,1737162.0,580551.0,678014.0,1612165.0,0.0833850627495155,0.2419609582937324,0.0514823122737856,0.01720513565969,0.0200935367421107,0.0477779170663805,0.2540887280253707,0.2593935492780849,0.0104117934178133,0.0142010064935161,8573688.0,8752688.0,351324.0,479183.0,5709.0,168.0,534.0,669.0,18.0,89.0,83.0,3928.0,97.0,36.0,87.0,0.0988099125843399,5709.0,1220.5444147033359,0.357377662954386,0.061594770727597,40977326.0,6070.0,20572906.0,5511743.0,828322.0,33742890.0,4048966.0,4661145.0,14644381.0,17621.0,2523989.0,2976742.0,21035.0
BK0703,Sunset Park (Central),Brooklyn,3.0,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),1.7412400620022315,2.490955165692008,1.2963335480421028,0.2337597941385787,473172.0,381814.0,1706088.0,1087198.0,267548.0,622801.0,0.0351618058959404,0.0283729167329271,0.1267808219788856,0.0807905899893794,0.0198817149870387,0.0462808616608709,0.5141843776631145,0.1403147569129139,0.0001805010155318,0.0080516531633973,6919373.0,1888214.0,2429.0,108351.0,4172.0,70.0,34.0,759.0,3.0,22.0,51.0,3179.0,29.0,2.0,23.0,0.0805276316736071,4172.0,2395.993574374039,0.699172673489925,0.0811357804312989,17444745.0,4512.0,4077880.0,226793.0,153086.0,13456988.0,1404784.0,672346.0,12196889.0,14198.0,1415393.0,201101.0,15727.0
BK0771,Green-Wood Cemetery,Brooklyn,3.0,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),1.959190808030129,5.0,0.004551663149353,0.9294136737343142,0.0,0.0,0.0,20309060.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5104148079407597,0.0705863262656858,0.0,92440.0,20.0,85915.0,0.0,0.0,20309060.0,0.0,85915.0,6525.0,0.0,0.0,0.0,1.0
BK0801,Prospect Heights,Brooklyn,3.0,BK08,BK08 Crown Heights (North) (CD 8 Approximation),0.9571476616504366,3.2943002257336342,2.2631672163220973,0.1822781253366889,218137.0,134500.0,1121832.0,103226.0,144714.0,471547.0,0.0316414989463325,0.019509673316685,0.1627254709011409,0.0149732753738894,0.0209912480620874,0.0683994641149658,0.6019064939797064,0.0302674087208384,0.0107342367641734,0.0388512298201802,4149553.0,208664.0,74002.0,267841.0,1857.0,32.0,27.0,320.0,7.0,30.0,36.0,1339.0,10.0,10.0,46.0,0.0234338361797813,1857.0,1940.1395149395473,0.7777957380800832,0.0563096710480902,15602311.0,1885.0,2843960.0,78259.0,471091.0,6894016.0,365622.0,801244.0,12135411.0,12707.0,878561.0,244518.0,13504.0
BK0802,Crown Heights (North),Brooklyn,3.0,BK08,BK08 Crown Heights (North) (CD 8 Approximation),3.2883172682924755,2.909571809396868,1.851610290758329,0.179226885616077,624839.0,606036.0,2093942.0,694103.0,376000.0,2528762.0,0.0261489864363947,0.0253620967064586,0.0876297109440948,0.0290476265605394,0.0157352836492031,0.1058265621045908,0.6688577351662205,0.0248080556952038,0.0041729051556196,0.0124110375816743,15982585.0,592797.0,99713.0,296566.0,6300.0,84.0,60.0,748.0,20.0,90.0,167.0,4880.0,58.0,37.0,156.0,0.0400890607345761,6300.0,1915.8735261793643,0.7735425692243639,0.0375058455938715,44244863.0,6567.0,7929869.0,409207.0,556973.0,23895343.0,1773735.0,2975728.0,34225285.0,38035.0,1659441.0,553185.0,40040.0
BK0891,Lincoln Terrace Park,Brooklyn,3.0,BK08,BK08 Crown Heights (North) (CD 8 Approximation),0.11277467982649282,1.0,0.0015410507763171,1.0,0.0,0.0,0.0,848800.0,0.0,0.0,0.0,0.0,0.0,0.9639232858791144,0.0,0.0,0.0,0.0360767141208856,0.0,0.0,0.0,31768.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,26.60171595801104,0.0,0.0,1357.0,2.0,1357.0,0.0,0.0,880568.0,1357.0,0.0,0.0,0.0,0.0,0.0,1.0
BK0901,Crown Heights (South),Brooklyn,3.0,BK09,BK09 Crown Heights (South) (CD 9 Approximation),1.8619430906852517,2.5839328537170263,2.0109527392106217,0.1514766003697947,270560.0,74431.0,1706293.0,72774.0,36807.0,1701829.0,0.0203330071003948,0.005593606044831,0.1282305872425861,0.0054690799036226,0.0027661036086052,0.1278951106618049,0.6829196953686271,0.0148512265824909,0.0016909101853891,0.0102506733016479,9087232.0,197617.0,22500.0,136400.0,2998.0,40.0,2.0,353.0,3.0,11.0,101.0,2418.0,10.0,13.0,47.0,0.0442746167703366,2998.0,1610.145882007943,0.8151027399461587,0.0318983095844824,26758628.0,4100.0,4053306.0,906.0,363565.0,13306443.0,1184728.0,1572951.0,21811031.0,21532.0,853555.0,77601.0,22787.0
