score_col,model_label,global_threshold_fallback,complaint_category,threshold,threshold_strategy,note,validation_rows,validation_positive_rows,validation_f1,validation_precision,validation_recall,validation_pr_auc,validation_roc_auc,validation_predicted_positive_share
xgb_score,Tuned XGBoost,0.36,infrastructure,0.372594,best_f1,Max validation F1.,13624,1734,0.3523089171974522,0.2689969604863222,0.5103806228373703,0.2788942164116426,0.7326115109379229,0.2414856136230182
xgb_score,Tuned XGBoost,0.36,noise,0.425,best_f1,Max validation F1.,13624,1884,0.4073319755600815,0.35502958579881655,0.47770700636942676,0.3483229184218476,0.7646461098029855,0.18606870229007633
xgb_score,Tuned XGBoost,0.36,other,0.335,best_f1,Max validation F1.,13624,1802,0.3808483524485709,0.2833920346789488,0.5804661487236404,0.31892948773453866,0.7614661644958862,0.2709189665296535
xgb_score,Tuned XGBoost,0.36,parking_traffic,0.317945,best_f1,Max validation F1.,13624,1884,0.38560055382485287,0.28608115048793015,0.5912951167728238,0.3227294445858968,0.7439792686190894,0.2858191426893717
xgb_score,Tuned XGBoost,0.36,public_safety,0.316398,best_f1,Max validation F1.,13624,1839,0.40702781844802344,0.30675862068965515,0.6046764545948885,0.3307430629954415,0.780033004785071,0.26607457428068115
xgb_score,Tuned XGBoost,0.36,sanitation,0.34,best_f1,Max validation F1.,13624,1651,0.3522479266695766,0.27533265097236437,0.4887946698970321,0.28241654756141754,0.7504472130737527,0.21513505578391073
xgb_score,Tuned XGBoost,0.36,water_sewer,0.370218,best_f1,Max validation F1.,13624,1659,0.3939329203161718,0.30509596293845137,0.5557564798071127,0.34961937525058145,0.7846436272965126,0.22181444509688786
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.344819,environment,0.338471,best_f1,Max validation F1.,13624,1495,0.3586451184414434,0.2680344142951688,0.5418060200668896,0.2924517234016716,0.7697143113977363,0.22181444509688786
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.344819,housing,0.385,best_f1,Max validation F1.,13624,1626,0.38584247258225324,0.32439228834870076,0.47601476014760147,0.37904154392354167,0.7814683956141112,0.17513211978860835
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.344819,infrastructure,0.381401,best_f1,Max validation F1.,13624,1734,0.3508189923284263,0.2738750404661703,0.48788927335640137,0.2791479656853513,0.733191122389687,0.22673223722842042
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.344819,noise,0.415,best_f1,Max validation F1.,13624,1884,0.4058420004425758,0.34800759013282734,0.4867303609341826,0.3493039998200039,0.7641770834463627,0.19340869054609514
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.344819,other,0.331424,best_f1,Max validation F1.,13624,1802,0.3812263981298328,0.2819898909284384,0.5882352941176471,0.31852146734292375,0.7608292896612365,0.27591015854374634
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),0.344819,parking_traffic,0.359633,best_f1,Max validation F1.,13624,1884,0.3832042397064819,0.3110522832561218,0.4989384288747346,0.322942745115649,0.74361117742163,0.22181444509688786
