column,include,reason,feature_group,dtype_sample,is_categorical_feature,is_quality_feature
pluto_lot_area_ratio_mixed_use,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_area_ratio_open_space,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_area_ratio_parking,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_area_ratio_public_facility,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_area_ratio_residential,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_area_ratio_transportation_utility,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_area_ratio_unknown,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_area_ratio_vacant,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_area_residential,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_area_transportation_utility,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_area_unknown,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_area_vacant,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_count,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_count_commercial,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_count_industrial,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_count_mixed_use,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_count_open_space,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_count_parking,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_count_public_facility,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_count_residential,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_count_transportation_utility,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_count_unknown,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_count_vacant,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_office_area_ratio,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_parcel_count,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_parcel_density_per_km2,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_residential_area_ratio,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_retail_area_ratio,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_source_missing_flag,True,included_known_quality_flag,pluto_landuse_built_environment,int64,False,True
pluto_total_building_area,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_total_buildings,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_total_commercial_area,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_total_factory_area,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_total_garage_area,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_total_lot_area,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_total_office_area,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_total_other_area,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_total_residential_area,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_total_residential_units,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_total_retail_area,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_total_storage_area,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_total_units,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
osm_zero_poi_flag,True,included_known_quality_flag,quality_flag,int64,False,True
diff_1w_count,True,included_numeric_feature,temporal_demand,float64,False,False
diff_4w_count,True,included_numeric_feature,temporal_demand,float64,False,False
history_weeks_available,True,included_numeric_feature,temporal_demand,int64,False,False
lag_12w_count,True,included_numeric_feature,temporal_demand,float64,False,False
lag_1w_count,True,included_numeric_feature,temporal_demand,float64,False,False
lag_2w_count,True,included_numeric_feature,temporal_demand,float64,False,False
lag_4w_count,True,included_numeric_feature,temporal_demand,float64,False,False
lag_52w_count,True,included_numeric_feature,temporal_demand,float64,False,False
lag_8w_count,True,included_numeric_feature,temporal_demand,float64,False,False
pct_change_1w,True,included_numeric_feature,temporal_demand,float64,False,False
ratio_to_12w_mean,True,included_numeric_feature,temporal_demand,float64,False,False
ratio_to_8w_mean,True,included_numeric_feature,temporal_demand,float64,False,False
rolling_12w_mean,True,included_numeric_feature,temporal_demand,float64,False,False
rolling_12w_std,True,included_numeric_feature,temporal_demand,float64,False,False
rolling_12w_sum,True,included_numeric_feature,temporal_demand,float64,False,False
rolling_4w_mean,True,included_numeric_feature,temporal_demand,float64,False,False
rolling_4w_std,True,included_numeric_feature,temporal_demand,float64,False,False
rolling_4w_sum,True,included_numeric_feature,temporal_demand,float64,False,False
rolling_8w_mean,True,included_numeric_feature,temporal_demand,float64,False,False
rolling_8w_std,True,included_numeric_feature,temporal_demand,float64,False,False
rolling_8w_sum,True,included_numeric_feature,temporal_demand,float64,False,False
cold_day_0c_count,True,included_numeric_feature,weather,float64,False,False
heavy_rain_day_25mm_count,True,included_numeric_feature,weather,float64,False,False
heavy_snow_day_25mm_count,True,included_numeric_feature,weather,float64,False,False
hot_day_30c_count,True,included_numeric_feature,weather,float64,False,False
hot_day_35c_count,True,included_numeric_feature,weather,float64,False,False
ice_day_tmax_0c_count,True,included_numeric_feature,weather,float64,False,False
moderate_rain_day_10mm_count,True,included_numeric_feature,weather,float64,False,False
rain_day_count,True,included_numeric_feature,weather,float64,False,False
snow_day_count,True,included_numeric_feature,weather,float64,False,False
very_cold_day_minus5c_count,True,included_numeric_feature,weather,float64,False,False
very_heavy_rain_day_50mm_count,True,included_numeric_feature,weather,float64,False,False
weather_awnd_max,True,included_numeric_feature,weather,float64,False,False
weather_awnd_mean,True,included_numeric_feature,weather,float64,False,False
weather_prcp_max,True,included_numeric_feature,weather,float64,False,False
weather_prcp_mean,True,included_numeric_feature,weather,float64,False,False
weather_prcp_station_max,True,included_numeric_feature,weather,float64,False,False
weather_prcp_sum,True,included_numeric_feature,weather,float64,False,False
weather_snow_max,True,included_numeric_feature,weather,float64,False,False
weather_snow_mean,True,included_numeric_feature,weather,float64,False,False
weather_snow_sum,True,included_numeric_feature,weather,float64,False,False
weather_snwd_max,True,included_numeric_feature,weather,float64,False,False
weather_snwd_mean,True,included_numeric_feature,weather,float64,False,False
weather_tavg_mean,True,included_numeric_feature,weather,float64,False,False
weather_tmax_max,True,included_numeric_feature,weather,float64,False,False
weather_tmax_mean,True,included_numeric_feature,weather,float64,False,False
weather_tmax_min,True,included_numeric_feature,weather,float64,False,False
weather_tmax_station_max,True,included_numeric_feature,weather,float64,False,False
weather_tmin_max,True,included_numeric_feature,weather,float64,False,False
weather_tmin_mean,True,included_numeric_feature,weather,float64,False,False
weather_tmin_min,True,included_numeric_feature,weather,float64,False,False
