target_definition,calibration_method,fold_id,cluster_unit,clusters,n_bootstrap,metric,observed,boot_mean,ci_lower,ci_upper,boot_std
T2_min_count_3,platt,final_style_2025,nta_category,2358,1000,pr_auc,0.3165151742185692,0.3167505395869659,0.30800225276391024,0.3251848460824862,0.004536933952996622
T2_min_count_3,platt,final_style_2025,nta_category,2358,1000,f1,0.36125023186792804,0.3613750353849418,0.35508908211358753,0.367605212924051,0.0032875475775717656
T2_min_count_3,platt,final_style_2025,nta_category,2358,1000,precision,0.26347831969153757,0.26361010032476145,0.2581883868993491,0.2690086544325553,0.002830798441071819
T2_min_count_3,platt,final_style_2025,nta_category,2358,1000,recall,0.5743990561864032,0.5744432856697402,0.5644749205240441,0.5845394299172861,0.005150060465854918
T2_min_count_3,platt,final_style_2025,nta_category,2358,1000,precision_at_1pct,0.5696821515892421,0.5721108394458028,0.5427872860635696,0.6022819885900571,0.015569591337949561
T2_min_count_3,platt,final_style_2025,nta_category,2358,1000,precision_at_5pct,0.41803947153808513,0.41794291306475295,0.4035149241559289,0.43239275811450006,0.007423159718024399
T2_min_count_3,platt,final_style_2025,nta_category,2358,1000,lift_at_1pct,5.150578579801394,5.171886995963741,4.893365446764227,5.460286566435575,0.14679157573281532
T2_min_count_3,platt,final_style_2025,nta_category,2358,1000,brier,0.08691187443484587,0.08692097145768218,0.08519955446068536,0.08878793808511856,0.0009241907109680682
T2_min_count_3,platt,final_style_2025,nta_category,2358,1000,log_loss,0.29331224867931915,0.29332537538539316,0.2880864847697142,0.29907007410728936,0.0027805187629543152
T2_min_count_3,isotonic,final_style_2025,nta_category,2358,1000,pr_auc,0.30728717761960506,0.30729628289535077,0.29920922984210524,0.315434007489534,0.004223052192327336
T2_min_count_3,isotonic,final_style_2025,nta_category,2358,1000,f1,0.36102427363001105,0.3610167621439779,0.35473737994621846,0.3671667221542729,0.0032007462269134546
T2_min_count_3,isotonic,final_style_2025,nta_category,2358,1000,precision,0.26227372920980563,0.2622952708954347,0.25663467436608234,0.2674896895993177,0.0027498736810474948
T2_min_count_3,isotonic,final_style_2025,nta_category,2358,1000,recall,0.5790443887332252,0.5789421695430841,0.5691862414991203,0.5888131443916192,0.005210199762752698
T2_min_count_3,isotonic,final_style_2025,nta_category,2358,1000,precision_at_1pct,0.5770171149144254,0.5698769356153219,0.541157294213529,0.5973920130399348,0.01494881857749836
T2_min_count_3,isotonic,final_style_2025,nta_category,2358,1000,precision_at_5pct,0.419833632360137,0.4175402055129669,0.4035190017941608,0.43141820257706737,0.0073738874427459735
T2_min_count_3,isotonic,final_style_2025,nta_category,2358,1000,lift_at_1pct,5.21689504220227,5.152300664712376,4.876420659569192,5.42326789035772,0.1417308637540773
T2_min_count_3,isotonic,final_style_2025,nta_category,2358,1000,brier,0.08683629573007658,0.08684818071059107,0.08496707859735297,0.08874220150663979,0.0009821317201878755
T2_min_count_3,isotonic,final_style_2025,nta_category,2358,1000,log_loss,0.29228396474752727,0.2923039565778876,0.28638628097204827,0.2981955095198742,0.0030192414885761108
