method_id,model_label,score_col,threshold_mode,threshold_strategy,split,global_threshold,complaint_category,rows,positive_rows,positive_share,predicted_positive_rows,predicted_positive_share,accuracy,balanced_accuracy,precision,recall,specificity,npv,f1,f2,roc_auc,pr_auc,tn,fp,fn,tp
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,test,0.166987,housing,27510,3720,0.13522355507088332,6135,0.22300981461286803,0.7868047982551799,0.6811338119838912,0.3251833740831296,0.5362903225806451,0.8259773013871374,0.9192982456140351,0.4048706240487062,0.47466095645967166,0.7795556210931675,0.38968826520900224,19650,4140,1725,1995
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,test,0.166987,infrastructure,27510,3596,0.1307161032351872,7499,0.27259178480552526,0.7368593238822246,0.6515957533404599,0.25710094679290574,0.5361512791991101,0.7670402274818098,0.916645844785368,0.34754393871113115,0.44052460814330757,0.7281266864402783,0.27124263708236607,18343,5571,1668,1928
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,test,0.166987,noise,27510,3982,0.14474736459469284,7062,0.25670665212649946,0.7752090149036714,0.706687147587469,0.3440951571792693,0.6102461074836766,0.8031281876912615,0.9241001564945227,0.4400579500181094,0.5284906481078729,0.7920342322498165,0.3985061318466605,18896,4632,1552,2430
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,test,0.166987,other,27510,3620,0.13158851326790258,5953,0.21639403853144312,0.7814976372228281,0.6586776061552835,0.2991768856038972,0.4919889502762431,0.825366262034324,0.9146912835737812,0.3720881646296877,0.4358146136152303,0.7548760201568423,0.31763756881559924,19718,4172,1839,1781
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,test,0.166987,parking_traffic,27510,3586,0.13035259905488913,6328,0.23002544529262087,0.7704834605597964,0.6563430133328882,0.28445006321112515,0.501952035694367,0.8107339909714094,0.9156831271834577,0.36312285656647164,0.43537151702786375,0.7445198394096644,0.3082183653543009,19396,4528,1786,1800
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,test,0.166987,public_safety,27510,3536,0.12853507815339876,5221,0.18978553253362412,0.8049800072700836,0.6663018609526836,0.32484198429419653,0.4796380090497738,0.8529657128555935,0.9174480685539953,0.38734726504510675,0.43790343403046733,0.7798027425638709,0.3173376292285036,20449,3525,1840,1696
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,test,0.166987,sanitation,27510,3172,0.1153035259905489,5242,0.19054889131225008,0.792657215557979,0.633733093423566,0.25848912628767645,0.4271752837326608,0.8402909031144712,0.9184030896353512,0.3220822438792489,0.37785833798103735,0.7273345995141771,0.2462181586578252,20451,3887,1817,1355
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,test,0.166987,water_sewer,27510,3462,0.12584514721919302,6527,0.23725917848055253,0.780552526354053,0.6907609175064083,0.3027424544201011,0.5707683419988446,0.810753493013972,0.9291807653814993,0.39563519871859043,0.4849079754601227,0.7814401766465143,0.3578080513813713,19497,4551,1486,1976
lgbm_per_category,Tuned LightGBM,lgbm_score,per_category,best_f1,validation,,environment,13624,1495,0.10973282442748092,3077,0.2258514386376982,0.7840575455079272,0.6793276624116831,0.2648683782905427,0.5451505016722408,0.8135048231511254,0.9355266900540438,0.3565179352580927,0.44992823230650325,0.7620275461310423,0.2757055131017598,9867,2262,680,815
lgbm_per_category,Tuned LightGBM,lgbm_score,per_category,best_f1,validation,,housing,13624,1626,0.11934820904286553,3265,0.2396506165590135,0.7770845566647093,0.6876224450692582,0.2839203675344564,0.5701107011070111,0.8051341890315052,0.9325224442513756,0.37906358617869557,0.4744600266148019,0.7775896228707244,0.3485051513859917,9660,2338,699,927
