complaint_category,category_rank,feature,feature_group,mean_abs_shap,rows
parking_traffic,4,lag_52w_count,historical_temporal,0.12991243328928048,2778
parking_traffic,5,rolling_4w_mean,historical_temporal,0.11211275475703202,2778
parking_traffic,6,lag_1w_count,historical_temporal,0.10002563871738283,2778
parking_traffic,7,complaint_category=environment,semantic_category,0.08831894895646933,2778
parking_traffic,8,rolling_12w_std,historical_temporal,0.07917987855460468,2778
parking_traffic,9,complaint_category=other,semantic_category,0.07729660513538712,2778
parking_traffic,10,complaint_category=housing,semantic_category,0.06227994867814501,2778
parking_traffic,11,history_weeks_available,historical_temporal,0.05999955981041364,2778
parking_traffic,12,rolling_12w_mean,historical_temporal,0.05489218614158517,2778
parking_traffic,13,complaint_count,current_demand,0.05271106856230555,2778
parking_traffic,14,lag_12w_count,historical_temporal,0.048899455602837934,2778
parking_traffic,15,ratio_to_12w_mean,historical_temporal,0.04431694429488408,2778
parking_traffic,16,poi_semantic_entropy,osm_poi_context,0.04336177937753102,2778
parking_traffic,17,pluto_lot_count,pluto_built_environment,0.0405085980225906,2778
parking_traffic,18,lag_2w_count,historical_temporal,0.03881977687168576,2778
parking_traffic,19,poi_named_count,osm_poi_context,0.03405518224638726,2778
parking_traffic,20,complaint_category=noise,semantic_category,0.0330601267187053,2778
parking_traffic,21,diff_4w_count,historical_temporal,0.03204738964236509,2778
parking_traffic,22,pluto_total_buildings,pluto_built_environment,0.030510500395762453,2778
parking_traffic,23,lag_8w_count,historical_temporal,0.030194359504387078,2778
parking_traffic,24,complaint_category=public_safety,semantic_category,0.029823458179154473,2778
parking_traffic,25,complaint_category=infrastructure,semantic_category,0.029332768340190187,2778
parking_traffic,26,pluto_total_units,pluto_built_environment,0.029078766537596692,2778
parking_traffic,27,month,calendar,0.028122396697926513,2778
parking_traffic,28,pluto_total_residential_area,pluto_built_environment,0.02550076680586186,2778
parking_traffic,29,poi_osm_tag_public_transport_count,osm_poi_context,0.02145599423277396,2778
parking_traffic,30,complaint_category=parking_traffic,semantic_category,0.020794761343539837,2778
public_safety,1,rolling_8w_std,historical_temporal,0.7964678641383492,2778
public_safety,2,ratio_to_8w_mean,historical_temporal,0.40270737963298064,2778
public_safety,3,week_of_year,calendar,0.1367265119391699,2778
public_safety,4,lag_52w_count,historical_temporal,0.1326549003000008,2778
public_safety,5,rolling_4w_mean,historical_temporal,0.10748703830992086,2778
public_safety,6,lag_1w_count,historical_temporal,0.0985839406447399,2778
public_safety,7,complaint_category=environment,semantic_category,0.089037286262426,2778
public_safety,8,rolling_12w_std,historical_temporal,0.08485478857337175,2778
public_safety,9,complaint_category=other,semantic_category,0.0723533156662549,2778
public_safety,10,complaint_category=housing,semantic_category,0.060263111006045963,2778
public_safety,11,history_weeks_available,historical_temporal,0.059320466323460594,2778
public_safety,12,complaint_count,current_demand,0.05664223151163152,2778
public_safety,13,rolling_12w_mean,historical_temporal,0.05626480494043165,2778
public_safety,14,lag_12w_count,historical_temporal,0.05065321768187782,2778
public_safety,15,ratio_to_12w_mean,historical_temporal,0.04574388357251129,2778
public_safety,16,poi_semantic_entropy,osm_poi_context,0.04420982628597375,2778
public_safety,17,pluto_lot_count,pluto_built_environment,0.03771770211743661,2778
public_safety,18,lag_2w_count,historical_temporal,0.0377000522037552,2778
public_safety,19,complaint_category=noise,semantic_category,0.037341643026104786,2778
public_safety,20,poi_named_count,osm_poi_context,0.035268789913962886,2778
public_safety,21,diff_4w_count,historical_temporal,0.032161563214418556,2778
public_safety,22,complaint_category=infrastructure,semantic_category,0.03145780215974865,2778
public_safety,23,pluto_total_buildings,pluto_built_environment,0.031278387696900854,2778
public_safety,24,lag_8w_count,historical_temporal,0.029784990736030394,2778
public_safety,25,complaint_category=public_safety,semantic_category,0.02970414229868495,2778
public_safety,26,pluto_total_units,pluto_built_environment,0.029326232519189584,2778
public_safety,27,month,calendar,0.02870942967782286,2778
public_safety,28,pluto_total_residential_area,pluto_built_environment,0.02548070815225135,2778
public_safety,29,complaint_category=parking_traffic,semantic_category,0.02320103122432487,2778
public_safety,30,poi_osm_tag_public_transport_count,osm_poi_context,0.02190813661765036,2778
sanitation,1,rolling_8w_std,historical_temporal,0.8202598489880857,2777
sanitation,2,ratio_to_8w_mean,historical_temporal,0.40899515401001046,2777
sanitation,3,week_of_year,calendar,0.1347694488483702,2777
sanitation,4,lag_52w_count,historical_temporal,0.13308877710487851,2777
sanitation,5,rolling_4w_mean,historical_temporal,0.10878934990906988,2777
sanitation,6,lag_1w_count,historical_temporal,0.09897669719126014,2777
sanitation,7,complaint_category=environment,semantic_category,0.08590333978747586,2777
sanitation,8,rolling_12w_std,historical_temporal,0.083848370538829,2777
sanitation,9,complaint_category=other,semantic_category,0.06927721426532173,2777
sanitation,10,complaint_category=housing,semantic_category,0.06295220729667196,2777
sanitation,11,history_weeks_available,historical_temporal,0.05790083178056784,2777
sanitation,12,complaint_count,current_demand,0.055818922542959885,2777
sanitation,13,rolling_12w_mean,historical_temporal,0.055160244147713894,2777
sanitation,14,lag_12w_count,historical_temporal,0.04925884541564506,2777
sanitation,15,ratio_to_12w_mean,historical_temporal,0.04483072982481094,2777
sanitation,16,poi_semantic_entropy,osm_poi_context,0.043422125150711095,2777
sanitation,17,pluto_lot_count,pluto_built_environment,0.038921923881315365,2777
sanitation,18,lag_2w_count,historical_temporal,0.03842630029703141,2777
sanitation,19,complaint_category=noise,semantic_category,0.0362374821738886,2777
sanitation,20,poi_named_count,osm_poi_context,0.034438481109950604,2777
sanitation,21,pluto_total_buildings,pluto_built_environment,0.032955472546474816,2777
sanitation,22,diff_4w_count,historical_temporal,0.032710720127950496,2777
sanitation,23,complaint_category=infrastructure,semantic_category,0.03162611098512534,2777
sanitation,24,lag_8w_count,historical_temporal,0.029850068045313958,2777
sanitation,25,complaint_category=public_safety,semantic_category,0.029668493926120993,2777
sanitation,26,pluto_total_units,pluto_built_environment,0.029266726471810528,2777
sanitation,27,month,calendar,0.028560566595076286,2777
sanitation,28,pluto_total_residential_area,pluto_built_environment,0.02527161223212959,2777
sanitation,29,complaint_category=parking_traffic,semantic_category,0.02411092143300392,2777
sanitation,30,poi_osm_tag_public_transport_count,osm_poi_context,0.021606238682248344,2777
water_sewer,1,rolling_8w_std,historical_temporal,0.8260501673043923,2778
water_sewer,2,ratio_to_8w_mean,historical_temporal,0.40152392442473445,2778
water_sewer,3,week_of_year,calendar,0.13731238518466213,2778
water_sewer,4,lag_52w_count,historical_temporal,0.13446282418357947,2778
water_sewer,5,rolling_4w_mean,historical_temporal,0.11028727514237975,2778
