rows,positive_rows,positive_share,threshold,predicted_positive_rows,alert_rate,precision,recall,f1,pr_auc,roc_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,brier,target_definition,description,feature_config,split,seed,raw_feature_count,model_feature_count,fit_seconds,validation_selected_f1,contains_weather,contains_borough,contains_nta_fe,contains_osm_pluto,removed_formula_aligned_features,delta_vs_history_calendar_pr_auc,delta_vs_history_calendar_f1,delta_vs_history_calendar_precision_at_5pct,delta_vs_final_borough_pr_auc,delta_vs_final_borough_f1,delta_vs_final_borough_precision_at_5pct,delta_vs_final_nta_pr_auc,delta_vs_final_nta_f1,delta_vs_final_nta_precision_at_5pct
124974,13715,0.10974282650791364,0.5949511389355743,26245,0.21000368076559925,0.26496475519146506,0.5070360918702151,0.34804804804804806,0.2758848600293595,0.7702686024209106,0.4352,0.3643783005280845,0.31821091374619936,0.18570106870747768,T2_min_count_3,T0 AND count_t+1 >= 3,06_history_calendar_weather_nta_fe,validation,42,40,309,16.22905993461609,0.34804804804804806,True,False,True,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",0.00048402070318204204,0.0044016146309346915,0.0011201792286765766,-0.017967791116431042,-0.013053249674460699,-0.026244199071851493,-0.01918373252140748,-0.013757338993932056,-0.028004480716914693
122616,13562,0.11060546747569648,0.5949511389355743,26830,0.21881320545442684,0.26574729780096906,0.5257336676006489,0.35304020598138247,0.2990876917674409,0.7761758929342251,0.530562347188264,0.3925950089708041,0.33167509378567933,0.18800977406257788,T2_min_count_3,T0 AND count_t+1 >= 3,06_history_calendar_weather_nta_fe,test,42,40,309,16.22905993461609,0.34804804804804806,True,False,True,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",0.012981995791381096,0.008483881248846303,0.012232914695808228,-0.017427482451128296,-0.008210025886545569,-0.025444462567281,-0.019613382712840022,-0.01032801476076789,-0.028869678682107325
124974,13715,0.10974282650791364,0.5451719983738332,28744,0.22999983996671308,0.2666991372112441,0.5589500546846519,0.36110129772250876,0.29385265114579057,0.7805600403536972,0.488,0.390622499599936,0.33637381981116976,0.16438277302533594,T2_min_count_3,T0 AND count_t+1 >= 3,07_final_no_shortcut_borough,validation,42,57,69,24.72860884666443,0.36110129772250876,True,True,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",0.018451811819613084,0.01745486430539539,0.02736437830052807,0.0,0.0,0.0,-0.0012159414049764394,-0.0007040893194713571,-0.0017602816450631997
122616,13562,0.11060546747569648,0.5451719983738332,29566,0.24112676975272396,0.26347831969153757,0.5743990561864032,0.36125023186792804,0.3165151742185692,0.7854748927678601,0.5696821515892421,0.41803947153808513,0.3514108628282499,0.1675938103203304,T2_min_count_3,T0 AND count_t+1 >= 3,07_final_no_shortcut_borough,test,42,57,69,24.72860884666443,0.36110129772250876,True,True,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",0.03040947824250939,0.016693907135391872,0.03767737726308923,0.0,0.0,0.0,-0.0021859002617117262,-0.0021179888742223207,-0.003425216114826324
124974,13715,0.10974282650791364,0.5831742316169325,27495,0.22000576119832926,0.2711402073104201,0.5435654393000364,0.3618053870419801,0.295068592550767,0.7813784114371842,0.488,0.3923827812449992,0.33829412706032963,0.17740731380702515,T2_min_count_3,T0 AND count_t+1 >= 3,08_final_no_shortcut_nta_fe,validation,42,58,331,25.398836612701416,0.3618053870419801,True,True,True,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",0.019667753224589524,0.018158953624866747,0.02912465994559127,0.0012159414049764394,0.0007040893194713571,0.0017602816450631997,0.0,0.0,0.0
122616,13562,0.11060546747569648,0.5831742316169325,28478,0.23225353950544791,0.26820703701102605,0.5631912697242295,0.36336822074215036,0.3187010744802809,0.786913945431644,0.5770171149144254,0.42146468765291145,0.35402055129668897,0.18118954081542915,T2_min_count_3,T0 AND count_t+1 >= 3,08_final_no_shortcut_nta_fe,test,42,58,331,25.398836612701416,0.3618053870419801,True,True,True,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",0.03259537850422112,0.018811896009614193,0.04110259337791555,0.0021859002617117262,0.0021179888742223207,0.003425216114826324,0.0,0.0,0.0
124974,13715,0.10974282650791364,0.54,37204,0.2976939203354298,0.16455219868831308,0.44637258476121033,0.24046033896973626,0.16950017881384435,0.6225698568956086,0.28,0.22835653704592734,0.20395263242118739,0.23178291772180498,T2_min_count_3,T0 AND count_t+1 >= 3,09_calendar_only,validation,42,8,16,7.684421539306641,0.24046033896973626,False,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",-0.10590066051233313,-0.10318609444737711,-0.1349015842534806,-0.12435247233194621,-0.1206409587527725,-0.16226596255400866,-0.12556841373692265,-0.12134504807224386,-0.16402624419907186
122616,13562,0.11060546747569648,0.54,36418,0.297008547008547,0.16576967433686637,0.4451408346851497,0.2415766306522609,0.1811435617080282,0.6349034226422146,0.3202933985330073,0.2436796607404991,0.2236992334040124,0.2307975657989104,T2_min_count_3,T0 AND count_t+1 >= 3,09_calendar_only,test,42,8,16,7.684421539306641,0.24046033896973626,False,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",-0.10496213426803158,-0.10297969408027527,-0.1366824335344968,-0.13537161251054097,-0.11967360121566714,-0.17435981079758603,-0.1375575127722527,-0.12179159008988946,-0.17778502691241235
124974,13715,0.10974282650791364,0.47000000000000003,48470,0.38784067085953877,0.14229420259954612,0.5028800583302953,0.2218219827932781,0.14051990857211355,0.5778434630448179,0.1784,0.16018562970075212,0.16610657705232837,0.2185412133719105,T2_min_count_3,T0 AND count_t+1 >= 3,10_weather_only,validation,42,24,32,10.96959900856018,0.2218219827932781,True,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",-0.13488093075406393,-0.12182445062383526,-0.2030724915986558,-0.15333274257367702,-0.13927931492923065,-0.23043686989918388,-0.15454868397865346,-0.139983404248702,-0.23219715154424708
122616,13562,0.11060546747569648,0.47000000000000003,54496,0.4444444444444444,0.12755064591896653,0.5125350243326943,0.20426694877898263,0.13710531925323272,0.5612859023201685,0.18418907905460472,0.17696949926602512,0.15527646387212526,0.22759001006697752,T2_min_count_3,T0 AND count_t+1 >= 3,10_weather_only,test,42,24,32,10.96959900856018,0.2218219827932781,True,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",-0.14900037672282707,-0.14028937595355354,-0.20339259500897078,-0.17940985496533646,-0.1569832830889454,-0.24106997227206,-0.18159575522704818,-0.15910127196316773,-0.24449518838688633
124974,13715,0.10974282650791364,0.5228594044559398,32750,0.2620545073375262,0.17548091603053434,0.4190302588406854,0.2473689874098784,0.16993883628449621,0.6278632824362614,0.2304,0.2273963834213474,0.22299567930868938,0.21540334960377447,T2_min_count_3,T0 AND count_t+1 >= 3,11_calendar_weather_only,validation,42,31,39,12.122487783432007,0.2473689874098784,True,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",-0.10546200304168127,-0.09627744600723498,-0.13586173787806052,-0.12391381486129435,-0.11373231031263037,-0.1632261161785886,-0.1251297562662708,-0.11443639963210173,-0.1649863978236518
122616,13562,0.11060546747569648,0.5228594044559398,37728,0.3076923076923077,0.17125212044105173,0.4764046600796343,0.2519399493078573,0.17775776033147206,0.6401643602883066,0.3154034229828851,0.23764475615723374,0.20714402218235198,0.22007574121173237,T2_min_count_3,T0 AND count_t+1 >= 3,11_calendar_weather_only,test,42,31,39,12.122487783432007,0.2473689874098784,True,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",-0.10834793564458772,-0.09261637542467888,-0.14271733811776216,-0.13875741388709711,-0.10931028256007075,-0.1803947153808514,-0.14094331414880884,-0.11142827143429307,-0.1838199314956777
