rows,positive_rows,positive_share,threshold,predicted_positive_rows,alert_rate,precision,recall,f1,pr_auc,roc_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,brier,target_definition,description,feature_config,split,seed,raw_feature_count,model_feature_count,fit_seconds,validation_selected_f1,contains_weather,contains_borough,contains_nta_fe,contains_osm_pluto,removed_formula_aligned_features
124974,13715,0.10974282650791364,0.5800000000000001,28462,0.22774337062108918,0.2568688075328508,0.5330659861465549,0.3466818408137136,0.272886975032212,0.7688314883877528,0.416,0.36309809569531126,0.32157145143222915,0.18230638615690628,T2_min_count_3,T0 AND count_t+1 >= 3,05_history_calendar_weather_borough,validation,3407,40,52,13.680256128311157,0.3466818408137136,True,True,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.5800000000000001,30106,0.24553076270633523,0.2558626187470936,0.5679840731455538,0.35279838783548595,0.2977893838516802,0.7764979200526871,0.5297473512632437,0.3863969988582613,0.3315119882564019,0.1876382496992652,T2_min_count_3,T0 AND count_t+1 >= 3,05_history_calendar_weather_borough,test,3407,40,52,13.680256128311157,0.3466818408137136,True,True,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.5818814754172366,28744,0.22999983996671308,0.2571667130531589,0.5389719285453882,0.3481947290327139,0.27686027500051036,0.7700286631217145,0.4344,0.36853896623459753,0.31941110577692433,0.18551955374836723,T2_min_count_3,T0 AND count_t+1 >= 3,06_history_calendar_weather_nta_fe,validation,3407,40,309,14.769260168075562,0.3481947290327139,True,False,True,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.5818814754172366,29687,0.24211359039603314,0.2575201266547647,0.5637074177849875,0.3535341857615205,0.3002731458423948,0.7769160309624955,0.5313773431132844,0.39536780296852064,0.33420322948947967,0.18849521320001406,T2_min_count_3,T0 AND count_t+1 >= 3,06_history_calendar_weather_nta_fe,test,3407,40,309,14.769260168075562,0.3481947290327139,True,False,True,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.5960116384262429,24995,0.20000160033286923,0.2806561312262453,0.5114837768866205,0.3624386463446138,0.2946989160387646,0.7817291277180289,0.4904,0.39110257641222596,0.3404544727156345,0.1751769121516669,T2_min_count_3,T0 AND count_t+1 >= 3,07_final_no_shortcut_borough,validation,3407,57,69,21.856916666030884,0.3624386463446138,True,True,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.5960116384262429,26190,0.2135936582501468,0.27659411989308896,0.5341395074472791,0.3644596498289394,0.3192656316145187,0.7876792979584747,0.5819070904645477,0.42064916000652425,0.35557005382482465,0.1797540791349771,T2_min_count_3,T0 AND count_t+1 >= 3,07_final_no_shortcut_borough,test,3407,57,69,21.856916666030884,0.3624386463446138,True,True,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.59,26224,0.20983564581432937,0.2766168395363026,0.5289099526066351,0.36325396229249607,0.2976801225278823,0.782550331851725,0.4888,0.394783165306449,0.3406945111217795,0.1763740907278605,T2_min_count_3,T0 AND count_t+1 >= 3,08_final_no_shortcut_nta_fe,validation,3407,58,331,23.37274193763733,0.36325396229249607,True,True,True,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.59,26887,0.219278071377308,0.2742961282404136,0.5437988497271788,0.3646567282256669,0.3201098568284305,0.7878119644767283,0.5835370823145885,0.4226064263578535,0.3556516065894634,0.1795132999524063,T2_min_count_3,T0 AND count_t+1 >= 3,08_final_no_shortcut_nta_fe,test,3407,58,331,23.37274193763733,0.36325396229249607,True,True,True,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.5800000000000001,25558,0.20450653735977084,0.266178887236873,0.4960262486328837,0.3464466681944338,0.2823037677990624,0.7696818992178793,0.4968,0.37269963194111055,0.32301168186909907,0.17600040170451953,T2_min_count_3,T0 AND count_t+1 >= 3,03_history_calendar,validation,7777,16,24,11.5854012966156,0.3464466681944338,False,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.5800000000000001,25411,0.2072404906374372,0.2684270591476132,0.5029494174900457,0.35003720524465654,0.289880130593141,0.7724772545303994,0.5004074979625102,0.38900668732670035,0.3289022997879628,0.17667486664401094,T2_min_count_3,T0 AND count_t+1 >= 3,03_history_calendar,test,7777,16,24,11.5854012966156,0.3464466681944338,False,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.5831420467422589,27495,0.22000576119832926,0.2614293507910529,0.5240977032446227,0.34884736714389714,0.2773225833192887,0.7707078805197413,0.4216,0.371579452712434,0.323971835493679,0.18190214042648115,T2_min_count_3,T0 AND count_t+1 >= 3,04_history_calendar_weather,validation,7777,39,47,13.202076196670532,0.34884736714389714,True,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.5831420467422589,28830,0.23512429046780192,0.25872355185570584,0.5499926264562749,0.3519060200037743,0.2996251288421729,0.7765107524555663,0.5321923390383048,0.392921220029359,0.3351003099005056,0.18596717038456734,T2_min_count_3,T0 AND count_t+1 >= 3,04_history_calendar_weather,test,7777,39,47,13.202076196670532,0.34884736714389714,True,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.5946455750164271,24995,0.20000160033286923,0.269373874774955,0.4909223477943857,0.34786876776026865,0.27592939691344637,0.7699172327625369,0.424,0.3722195551288206,0.32101136181789086,0.1805098433456428,T2_min_count_3,T0 AND count_t+1 >= 3,05_history_calendar_weather_borough,validation,7777,40,52,14.085267305374146,0.34786876776026865,True,True,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.5946455750164271,26238,0.21398512429046782,0.26709352847015777,0.5167379442560094,0.3521608040201005,0.2961654385965537,0.7767953479571997,0.5167074164629177,0.39161637579513947,0.3323275159027891,0.1845886800102019,T2_min_count_3,T0 AND count_t+1 >= 3,05_history_calendar_weather_borough,test,7777,40,52,14.085267305374146,0.34786876776026865,True,True,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.59,26433,0.21150799366268183,0.26387470207694924,0.5085672621217645,0.34746438178738664,0.27777540711942206,0.7699585253048972,0.4496,0.3686989918386942,0.32021123379740757,0.18354072322675646,T2_min_count_3,T0 AND count_t+1 >= 3,06_history_calendar_weather_nta_fe,validation,7777,40,309,13.907367944717407,0.34746438178738664,True,False,True,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.59,27495,0.22423664122137404,0.2620840152755046,0.5313375608317358,0.35102418588791195,0.2982916210720948,0.7746872091149035,0.5419722901385493,0.3917794813244169,0.33249062143206654,0.18753379529004707,T2_min_count_3,T0 AND count_t+1 >= 3,06_history_calendar_weather_nta_fe,test,7777,40,309,13.907367944717407,0.34746438178738664,True,False,True,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.5697678411372704,26245,0.21000368076559925,0.2741474566584111,0.5246080933284725,0.3601101101101101,0.2965824179804168,0.7806300185943577,0.5048,0.39286285805728915,0.3392542806849096,0.16841331919669725,T2_min_count_3,T0 AND count_t+1 >= 3,07_final_no_shortcut_borough,validation,7777,57,69,18.606756925582886,0.3601101101101101,True,True,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
