nta2020,ntaname,boroname,nta_area_km2,poi_total_count,poi_density_per_km2,poi_unique_semantic_category_count,poi_semantic_entropy_norm,poi_mixed_use_index,poi_dominant_semantic_category,poi_dominant_semantic_category_share,poi_commercial_activity_count,poi_daily_activity_count,poi_social_infrastructure_count,poi_mobility_access_count,poi_recreation_environment_count,poi_safety_public_service_count
QN0271,Calvary & Mount Zion Cemeteries,Queens,1.326977136995385,7,5.275147404460778,2,0.1514433957396678,0.24489795918367352,transport,0.8571428571428571,1,7,0,6,0,0
BK5693,Shirley Chisholm State Park,Brooklyn,1.6977314361951785,7,4.123149192364516,1,-0.0,0.0,transport,1.0,0,7,0,7,0,0
BX0991,Soundview Park,Bronx,0.7237159195595613,7,9.672303469930656,2,0.2521770476863832,0.48979591836734704,recreation_green,0.5714285714285714,0,3,0,3,4,0
QN0171,St. Michael's Cemetery,Queens,0.4074865467332758,7,17.17848124341125,2,0.1514433957396678,0.24489795918367352,transport,0.8571428571428571,0,6,0,6,1,0
QN0261,Sunnyside Yards (South),Queens,0.8155364226549426,6,7.357120826642256,3,0.37348061874765015,0.6111111111111112,transport,0.5,1,4,0,3,2,0
BX1271,Woodlawn Cemetery,Bronx,1.6607525835567698,6,3.6128199103264564,3,0.320364529478941,0.5,transport,0.6666666666666666,0,4,0,4,0,1
BK1892,McGuire Fields,Brooklyn,0.9832259498750276,6,6.102361314571311,2,0.23504518787566922,0.4444444444444444,recreation_green,0.6666666666666666,0,2,0,2,4,0
QN0191,Astoria Park,Queens,0.24836551802935053,4,16.105295258930834,2,0.2076531463079713,0.375,recreation_green,0.75,0,1,0,1,3,0
BK1391,Calvert Vaux Park,Brooklyn,0.39201536551187416,4,10.203681671449278,2,0.2559580248098155,0.5,transport,0.5,0,2,0,2,2,0
BX0492,Claremont Park,Bronx,0.17289655884062663,3,17.351415320910775,2,0.23504518787566922,0.4444444444444444,recreation_green,0.6666666666666666,0,1,0,1,2,0
BK0471,The Evergreens Cemetery,Brooklyn,0.5186015460904004,1,1.9282626662776747,1,-0.0,0.0,transport,1.0,0,1,0,1,0,0
BX1071,Hart Island,Bronx,0.45546630511276076,1,2.195552094138836,1,-0.0,0.0,transport,1.0,0,1,0,1,0,0
SI9591,Hoffman & Swinburne Islands,Staten Island,0.059020230179354316,1,16.943342934467356,1,-0.0,0.0,recreation_green,1.0,0,0,0,0,1,0
BX0291,North & South Brother Islands,Bronx,0.08641051183938418,1,11.572666087880062,1,-0.0,0.0,food_drink,1.0,1,1,0,0,0,0
QN1491,Rockaway Community Park,Queens,0.8291485583449862,1,1.2060564900408681,1,-0.0,0.0,recreation_green,1.0,0,0,0,0,1,0
BK1771,Holy Cross Cemetery,Brooklyn,0.39706853237573536,0,0.0,0,0.0,0.0,,0.0,0,0,0,0,0,0
BK5692,Jamaica Bay (West),Brooklyn,3.6910590686175624,0,0.0,0,0.0,0.0,,0.0,0,0,0,0,0,0
QN1091,Spring Creek Park,Queens,1.1001188725265338,0,0.0,0,0.0,0.0,,0.0,0,0,0,0,0,0
QN1371,Montefiore Cemetery,Queens,0.49417710575190754,0,0.0,0,0.0,0.0,,0.0,0,0,0,0,0,0
