feature,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
poi_education_density_per_km2,262.0,4.172262375665096,5.034845723054227,0.0,0.0,0.0,0.8358230472673096,2.6986632430871054,5.513684307659077,13.981136655109967,24.342324676818055,28.44256294210798
poi_healthcare_count,262.0,9.755725190839694,12.781447044546367,0.0,0.0,0.0,0.0,5.0,15.0,31.94999999999999,55.559999999999945,89.0
poi_healthcare_share,262.0,0.02659951730845922,0.026078059865801636,0.0,0.0,0.0,0.0,0.0215209806403804,0.03881358600750007,0.07735908128890054,0.11637681159420289,0.12087912087912088
poi_healthcare_density_per_km2,262.0,4.159746289161522,5.917005773963956,0.0,0.0,0.0,0.0,1.9772083354974983,5.398919873985746,17.40529435000649,25.08392968566579,35.77751936252658
poi_transport_count,262.0,81.90076335877863,64.62041893609444,0.0,0.0,2.0500000000000007,35.0,72.0,113.75,180.95,287.20999999999947,433.0
poi_transport_share,262.0,0.37100103493304154,0.18358581407145605,0.0,0.0,0.1028060513024831,0.26016709751352507,0.36175346392737695,0.45454545454545453,0.6875,0.9630303030303022,1.0
poi_transport_density_per_km2,262.0,32.3868685527383,24.333149360795424,0.0,0.0,2.4156794808755193,15.465242296025682,28.499707016320023,42.6137269955972,77.24463433914207,124.48401088784043,146.76917204369187
poi_recreation_green_count,262.0,51.11450381679389,127.68583579393815,0.0,0.0,0.0,8.0,21.0,47.0,174.5499999999999,545.0999999999988,1616.0
poi_recreation_green_share,262.0,0.17119050278681447,0.18120729641958672,0.0,0.0,0.0,0.05995107135921283,0.10868533459895585,0.208999333999334,0.5705968688845399,0.8370827320827315,1.0
poi_recreation_green_density_per_km2,262.0,27.998921085585323,89.27390858043066,0.0,0.0,0.0,3.438339336153689,7.635371939965104,19.665850331011413,86.24725557381609,489.1752148824061,905.2632901626184
poi_culture_tourism_count,262.0,2.7977099236641223,9.509478761022494,0.0,0.0,0.0,0.0,0.0,2.0,14.949999999999989,32.559999999999945,123.0
poi_culture_tourism_share,262.0,0.007287213059700146,0.022269581118997173,0.0,0.0,0.0,0.0,0.0,0.0058694906534042185,0.025630160799652323,0.13989155996864383,0.21100917431192662
poi_culture_tourism_density_per_km2,262.0,1.455671900093814,4.561319513883255,0.0,0.0,0.0,0.0,0.0,0.7443577214729217,8.05415716653959,21.98788609146681,44.647650406534744
poi_public_service_count,262.0,0.5381679389312977,1.0597446388908058,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,6.0
poi_public_service_share,262.0,0.0013863927331028932,0.0026976297079081887,0.0,0.0,0.0,0.0,0.0,0.0016975744252554024,0.007175829302428361,0.011722103374508313,0.015625
poi_public_service_density_per_km2,262.0,0.26780278405130187,0.6359770530450137,0.0,0.0,0.0,0.0,0.0,0.2532873417677079,1.5327323770275914,2.8454803937795554,5.59924931372356
poi_emergency_safety_count,262.0,0.48091603053435117,0.7308331993936147,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.3899999999999864,4.0
poi_emergency_safety_share,262.0,0.002587590334175697,0.011283518187027664,0.0,0.0,0.0,0.0,0.0,0.00240518367115199,0.009162024901703798,0.02059440559440555,0.16666666666666666
poi_emergency_safety_density_per_km2,262.0,0.21217108526571285,0.38886194001981084,0.0,0.0,0.0,0.0,0.0,0.3487348119281064,0.9038045698626752,1.4392343556504792,3.1728869440561525
poi_finance_count,262.0,5.423664122137405,8.773866909507896,0.0,0.0,0.0,0.0,2.0,7.0,20.94999999999999,33.33999999999992,84.0
poi_finance_share,262.0,0.012818542576708652,0.01382876034511135,0.0,0.0,0.0,0.0,0.009623250142766743,0.020176640779655856,0.03676021141953114,0.05084943639291449,0.09523809523809523
poi_finance_density_per_km2,262.0,2.452513595242578,4.784517620380435,0.0,0.0,0.0,0.0,0.7917404460368906,2.3502122566278008,10.907637787163289,22.554250126360046,36.848204886910835
poi_accommodation_count,262.0,2.6106870229007635,9.85727459095262,0.0,0.0,0.0,0.0,0.0,1.0,11.949999999999989,37.77999999999997,128.0
poi_accommodation_share,262.0,0.004682498002568403,0.012081481598253702,0.0,0.0,0.0,0.0,0.0,0.004549938789763418,0.02177945421149303,0.06105061867266571,0.11764705882352941
poi_accommodation_density_per_km2,262.0,1.3405743264875964,5.0615761862155075,0.0,0.0,0.0,0.0,0.0,0.45138469813097354,5.863490186060814,23.237679095418475,56.149645541959366
poi_religion_count,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poi_religion_share,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poi_religion_density_per_km2,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poi_office_work_count,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poi_office_work_share,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poi_office_work_density_per_km2,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poi_industrial_logistics_count,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poi_industrial_logistics_share,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poi_industrial_logistics_density_per_km2,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poi_other_count,262.0,35.18320610687023,34.58141629401384,0.0,0.0,0.0,5.25,27.0,51.75,101.79999999999995,137.55999999999995,188.0
poi_other_share,262.0,0.1339198249330388,0.11116571481634033,0.0,0.0,0.0,0.04382671696305611,0.11557012119713084,0.20669913135035536,0.3268954609359309,0.5,0.5555555555555556
poi_other_density_per_km2,262.0,14.336912228263987,13.787072944011522,0.0,0.0,0.0,2.106825188342788,12.413914336347652,22.123257133508936,36.581600026952685,65.12812623135737,81.79733440178242
poi_commercial_activity_count,262.0,103.02671755725191,151.72574083807416,0.0,0.0,0.0,7.5,43.0,128.0,420.5999999999997,654.0999999999988,1148.0
poi_commercial_activity_share,262.0,0.2375697466697825,0.18939444888662282,0.0,0.0,0.0,0.07761984392419174,0.2219806763285024,0.36357234314980796,0.5741498552556221,0.668290870397957,1.0
poi_commercial_activity_density_per_km2,262.0,48.53371616192603,88.09309011149766,0.0,0.0,0.0,3.2520641221943616,13.628097575061481,51.682198117000155,209.79692214479522,459.12934111055824,516.1483149335502
poi_daily_activity_count,262.0,196.06106870229007,198.73524449817666,0.0,0.0,3.0,53.25,138.5,264.75,620.1499999999999,793.6599999999987,1288.0
poi_daily_activity_share,262.0,0.6508602600013719,0.17837515925841624,0.0,0.0,0.30014084507042255,0.5934866828087166,0.678033182773579,0.7558684110731893,0.8570857142857142,1.0,1.0
poi_daily_activity_density_per_km2,262.0,85.45950545776077,107.9467050107964,0.0,0.0,3.1909843512145404,23.96818790842455,49.13188668420355,99.80346475566816,300.8071332503127,536.9890971767433,616.0135537691756
poi_social_infrastructure_count,262.0,22.50381679389313,23.8857029475718,0.0,0.0,0.0,5.0,16.5,31.0,70.0,101.01999999999975,165.0
poi_social_infrastructure_share,262.0,0.06846412477062785,0.04430787755322606,0.0,0.0,0.0,0.041666666666666664,0.06687631027253668,0.09674030902683654,0.14526559299286573,0.1754491667833635,0.22018348623853212
poi_social_infrastructure_density_per_km2,262.0,10.055483348971734,12.754494581569844,0.0,0.0,0.0,1.8269438640166724,5.835186637669697,12.479898635085938,38.52632957990173,60.06377962313117,61.964154981020954
poi_mobility_access_count,262.0,81.90076335877863,64.62041893609444,0.0,0.0,2.0500000000000007,35.0,72.0,113.75,180.95,287.20999999999947,433.0
poi_mobility_access_share,262.0,0.37100103493304154,0.18358581407145605,0.0,0.0,0.1028060513024831,0.26016709751352507,0.36175346392737695,0.45454545454545453,0.6875,0.9630303030303022,1.0
poi_mobility_access_density_per_km2,262.0,32.3868685527383,24.333149360795424,0.0,0.0,2.4156794808755193,15.465242296025682,28.499707016320023,42.6137269955972,77.24463433914207,124.48401088784043,146.76917204369187
poi_recreation_environment_count,262.0,53.912213740458014,131.44252682414404,0.0,0.0,0.0,8.0,22.0,49.75,187.39999999999986,554.639999999999,1634.0
poi_recreation_environment_share,262.0,0.1784777158465146,0.1857033018633212,0.0,0.0,0.0,0.061082700311689275,0.11606636415201362,0.2199601426473673,0.571219715956558,0.8560383597883594,1.0
poi_recreation_environment_density_per_km2,262.0,29.454592985679138,91.49442521982297,0.0,0.0,0.0,3.557775519823139,7.8792592066631135,20.277735258275847,105.7371664370803,505.4974379525004,915.3466683946278
