target_definition,split,volume_decile,rows,rolling_8w_mean_min,rolling_8w_mean_median,rolling_8w_mean_max,positive_rows,positive_share,precision,recall,f1,pr_auc,alert_rate,precision_at_1pct,precision_at_5pct
T1_min_count_2,validation,D4,12262,2.0,3.375,4.875,1850,0.1508726145816343,0.24917955930614158,0.5745945945945946,0.34761281883584044,0.294838635812582,0.34790409394878485,0.5934959349593496,0.38925081433224756
T1_min_count_2,validation,D5,12261,4.875,6.625,8.75,1715,0.13987439849930675,0.25993159694817153,0.5760932944606414,0.3582306018854242,0.3076755059523032,0.3100073403474431,0.4959349593495935,0.44625407166123776
T1_min_count_2,validation,D6,12262,8.75,11.125,14.0,1658,0.13521448377099984,0.2631429383347542,0.5585042219541616,0.35773614062198184,0.30534689650593827,0.2869841787636601,0.5203252032520326,0.4250814332247557
T1_min_count_2,validation,D7,12261,14.0,17.625,22.0,1635,0.13334964521654025,0.2703023117960877,0.5577981651376147,0.364144539828309,0.2971044194207997,0.2751814697006769,0.45528455284552843,0.41368078175895767
T1_min_count_2,validation,D8,12262,22.0,28.125,36.25,1565,0.12763007665959877,0.2624880687241489,0.5271565495207667,0.35046728971962615,0.288865506199114,0.2563203392595009,0.45528455284552843,0.3811074918566775
T1_min_count_2,validation,D9,12261,36.25,50.0,72.625,1628,0.13277872930429818,0.28216283405842135,0.5577395577395577,0.374742055303343,0.33506714026043893,0.2624582007992823,0.6341463414634146,0.44625407166123776
T1_min_count_2,validation,D10,12262,72.625,113.625,540.375,1554,0.12673299624857282,0.28421052631578947,0.555984555984556,0.3761427949499347,0.33928729437567207,0.2479204045017126,0.7804878048780488,0.4560260586319218
T1_min_count_2,test,D1,24759,0.0,0.0,0.0,219,0.00884526838725312,0.13333333333333333,0.0182648401826484,0.0321285140562249,0.050630370743053175,0.0012116806009935782,0.10080645161290322,0.05492730210016155
T1_min_count_2,test,D2,24759,0.0,0.25,0.5,1557,0.0628862231915667,0.2452415812591508,0.21515735388567758,0.22921655833048238,0.19298089329045284,0.05517185669857426,0.3387096774193548,0.2495961227786753
T1_min_count_2,test,D3,24759,0.5,1.125,2.25,3379,0.13647562502524335,0.25248053732254616,0.4894939331163066,0.33313192346424975,0.2703346964312634,0.264590653903631,0.4959677419354839,0.37237479806138934
T1_min_count_2,test,D4,24759,2.25,3.625,5.25,3641,0.14705763560725393,0.26313144006031663,0.575116726174128,0.36106560910423313,0.30297580476012465,0.32141847409022983,0.5241935483870968,0.41518578352180935
