year,complaint_type,rows,period
2016,Root/Sewer/Sidewalk Condition,7988,2015-2019
2016,Street Sign - Damaged,7827,2015-2019
2016,Other Enforcement,6892,2015-2019
2016,Curb Condition,6178,2015-2019
2016,Standing Water,5780,2015-2019
2016,For Hire Vehicle Complaint,5702,2015-2019
2016,Traffic,5576,2015-2019
2016,Snow,5376,2015-2019
2016,Miscellaneous Categories,5300,2015-2019
2016,Street Sign - Missing,5299,2015-2019
2016,Plumbing,5167,2015-2019
2016,Homeless Encampment,5111,2015-2019
2016,Vending,4693,2015-2019
2016,Indoor Air Quality,4354,2015-2019
2016,Water Conservation,4137,2015-2019
2016,Emergency Response Team (ERT),3829,2015-2019
2016,Noise - Park,3797,2015-2019
2016,Maintenance or Facility,3735,2015-2019
2016,Electronics Waste,3548,2015-2019
2016,Special Projects Inspection Team (SPIT),3433,2015-2019
2016,Food Poisoning,3413,2015-2019
2016,Construction Safety Enforcement,3300,2015-2019
2016,Electrical,3220,2015-2019
2016,Hazardous Materials,3043,2015-2019
2016,Illegal Tree Damage,2918,2015-2019
2016,Taxi Report,2576,2015-2019
2016,Street Sign - Dangling,2574,2015-2019
2016,Litter Basket / Request,2485,2015-2019
2016,Highway Condition,2420,2015-2019
2016,Unsanitary Animal Pvt Property,2178,2015-2019
2016,BEST/Site Safety,2151,2015-2019
2016,Asbestos,2067,2015-2019
2016,Vacant Lot,1978,2015-2019
2016,Boilers,1765,2015-2019
2016,Derelict Bicycle,1726,2015-2019
2016,Smoking,1623,2015-2019
2016,School Maintenance,1608,2015-2019
2016,Drinking,1524,2015-2019
2016,Water Quality,1449,2015-2019
2016,Industrial Waste,1321,2015-2019
2016,Indoor Sewage,1247,2015-2019
2016,Sustainability Enforcement,1211,2015-2019
2016,Building Marshals office,1197,2015-2019
2016,Non-Residential Heat,1114,2015-2019
2016,Posting Advertisement,1100,2015-2019
2016,OUTSIDE BUILDING,1098,2015-2019
2016,Overflowing Litter Baskets,1039,2015-2019
2016,Noise - Helicopter,1009,2015-2019
2016,Broken Parking Meter,968,2015-2019
2016,ELEVATOR,967,2015-2019
2016,Mosquitoes,955,2015-2019
2016,Bus Stop Shelter Complaint,948,2015-2019
2016,Noise - House of Worship,915,2015-2019
2016,Sweeping/Missed,652,2015-2019
2016,Unsanitary Pigeon Condition,644,2015-2019
2016,Recycling Enforcement,633,2015-2019
