rows,positive_rows,positive_share,threshold,predicted_positive_rows,alert_rate,precision,recall,f1,pr_auc,roc_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,brier,log_loss,ece,mce,calibration_slope,calibration_intercept,target_definition,description,fold_id,train_end_year,validation_year,test_year,split,calibration_method,calibrator_fit_split,model_name,removed_formula_aligned_features,raw_feature_count,model_feature_count,fit_seconds
122616,13979,0.11400632870098519,0.1695108077360637,27743,0.22625921576303257,0.27509642071873985,0.545961799842621,0.3658501509994727,0.30710577787423204,0.7803240294962912,0.5541972290138549,0.4144511498939814,0.35508073723699235,0.08929464250279034,0.29874801683821123,7.666209970833176e-10,9.999999999177334e-07,1.0005518229955772,0.0006953715860431068,T2_min_count_3,T0 AND count_t+1 >= 3,fold_2022,2020,2021,2022,validation,isotonic,validation,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,12.566919803619385
122616,13322,0.10864813727409148,0.1695108077360637,28374,0.2314053630847524,0.2565729188693875,0.5464644948205976,0.34919416730621644,0.2747509134563775,0.7715685536624003,0.4661776691116544,0.3746534007502854,0.32547708367313655,0.08736011440594035,0.29507781161282776,0.007342596068428252,0.4238178908714049,0.9636910978099978,-0.14179265581254086,T2_min_count_3,T0 AND count_t+1 >= 3,fold_2022,2020,2021,2022,test,isotonic,validation,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,12.566919803619385
122616,13322,0.10864813727409148,0.6171905403968466,24524,0.20000652443400535,0.262436796607405,0.4831106440474403,0.3401152037203403,0.282786568958086,0.7635338729293626,0.5044824775876121,0.3850921546240418,0.32490621432066547,0.1850932193204078,0.5328942978764588,0.2678568280827632,0.48039772817603055,0.8498345606913262,-1.939149989718687,T2_min_count_3,T0 AND count_t+1 >= 3,fold_2023,2021,2022,2023,validation,uncalibrated,none,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,16.418737173080444
122616,13313,0.10857473739153128,0.6171905403968466,23176,0.18901285313499053,0.2679496030376251,0.4664613535641854,0.34037655183754006,0.28053700727926206,0.7677480626460333,0.4661776691116544,0.38085141086282825,0.3258848474963301,0.18008338821144246,0.5205803374404435,0.2621135206208807,0.45822023085964814,0.8916126580140822,-1.9084775239693432,T2_min_count_3,T0 AND count_t+1 >= 3,fold_2023,2021,2022,2023,test,uncalibrated,none,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,16.418737173080444
122616,13322,0.10864813727409148,0.18481890106807558,24524,0.20000652443400535,0.262436796607405,0.4831106440474403,0.3401152037203403,0.282786568958086,0.7635338729293626,0.5044824775876121,0.3850921546240418,0.32490621432066547,0.08761319005006525,0.2988089011264008,0.004576619535849785,0.09251954849358712,1.0001721023996488,-0.0003782156299167677,T2_min_count_3,T0 AND count_t+1 >= 3,fold_2023,2021,2022,2023,validation,platt,validation,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,16.418737173080444
122616,13313,0.10857473739153128,0.18481890106807558,23176,0.18901285313499053,0.2679496030376251,0.4664613535641854,0.34037655183754006,0.28053700727926206,0.7677480626460333,0.4661776691116544,0.38085141086282825,0.3258848474963301,0.08745782540305941,0.2974442818144757,0.0046251384147454324,0.24677772660224173,1.0381399695528104,0.10521079729311453,T2_min_count_3,T0 AND count_t+1 >= 3,fold_2023,2021,2022,2023,test,platt,validation,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,16.418737173080444
122616,13322,0.10864813727409148,0.1687361419068736,28937,0.2359969335160175,0.24836714241282787,0.5394835610268729,0.34014056177382335,0.2786290321603172,0.7642370990180163,0.511002444987775,0.3855814712118741,0.3250693198499429,0.08732049615851564,0.29629196557079235,1.3415867421072663e-08,1.0000000000287557e-06,1.0008414002390325,0.00137093196705071,T2_min_count_3,T0 AND count_t+1 >= 3,fold_2023,2021,2022,2023,validation,isotonic,validation,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,16.418737173080444
122616,13313,0.10857473739153128,0.1687361419068736,27462,0.22396750831865336,0.2540965698055495,0.5241493277247803,0.34226854690374003,0.2744581454809709,0.767455007116276,0.46373268133659334,0.3798727776871636,0.32409068667427826,0.08742004550039947,0.2958999794505959,0.003667048151451716,0.05927466570389622,1.038360064126892,0.1076767376013276,T2_min_count_3,T0 AND count_t+1 >= 3,fold_2023,2021,2022,2023,test,isotonic,validation,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,16.418737173080444
122616,13313,0.10857473739153128,0.6,26176,0.21347948065505318,0.2675351466992665,0.5260271914669872,0.354681050419104,0.30055831012525946,0.7783625196397939,0.534637326813366,0.4002609688468439,0.33330614907845374,0.1834627838457424,0.5282557135251073,0.27281135819532804,0.45361023625612945,1.0059937193829491,-1.9674910218761335,T2_min_count_3,T0 AND count_t+1 >= 3,fold_2024,2022,2023,2024,validation,uncalibrated,none,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,18.257171392440796
124974,13715,0.10974282650791364,0.6,25231,0.20188999311856867,0.2822718084895565,0.5192854538826103,0.36573717454937604,0.3082224529039512,0.7852256261207256,0.5352,0.4077452392382781,0.34925588094095056,0.17652789792235082,0.5127057312450272,0.2618167083204858,0.44160457912745343,1.0082152955486767,-1.9172277360571424,T2_min_count_3,T0 AND count_t+1 >= 3,fold_2024,2022,2023,2024,test,uncalibrated,none,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,18.257171392440796
