target_definition,fold_id,validation_year,test_year,split,calibration_method,bin_id,bin_lower,bin_upper,rows,mean_score,observed_rate,abs_gap
T2_min_count_3,final_style_2025,2024,2025,validation,platt,4,0.30000000000000004,0.4,6216,0.34327311281759154,0.3204633204633205,0.022809792354271052
T2_min_count_3,final_style_2025,2024,2025,validation,platt,5,0.4,0.5,2496,0.44219019738195825,0.4375,0.00469019738195825
T2_min_count_3,final_style_2025,2024,2025,validation,platt,6,0.5,0.6000000000000001,590,0.5289830047056745,0.47966101694915253,0.04932198775652197
T2_min_count_3,final_style_2025,2024,2025,validation,platt,7,0.6000000000000001,0.7000000000000001,2,0.6091341107517598,1.0,0.3908658892482402
T2_min_count_3,final_style_2025,2024,2025,validation,platt,8,0.7000000000000001,0.8,0,,,
T2_min_count_3,final_style_2025,2024,2025,validation,platt,9,0.8,0.9,0,,,
T2_min_count_3,final_style_2025,2024,2025,validation,platt,10,0.9,1.0,0,,,
T2_min_count_3,final_style_2025,2024,2025,test,platt,1,0.0,0.1,72791,0.042697211335024375,0.04100781690044099,0.001689394434583387
T2_min_count_3,final_style_2025,2024,2025,test,platt,2,0.1,0.2,27021,0.1434115061601055,0.14751489582176824,0.0041033896616627374
T2_min_count_3,final_style_2025,2024,2025,test,platt,3,0.2,0.30000000000000004,13205,0.24413506782749866,0.2272624006058311,0.016872667221667553
T2_min_count_3,final_style_2025,2024,2025,test,platt,4,0.30000000000000004,0.4,6286,0.3441177151444876,0.3168946866051543,0.027223028539333283
T2_min_count_3,final_style_2025,2024,2025,test,platt,5,0.4,0.5,2580,0.4423464454497172,0.4441860465116279,0.0018396010619107228
T2_min_count_3,final_style_2025,2024,2025,test,platt,6,0.5,0.6000000000000001,727,0.5311046563026074,0.6148555708390646,0.08375091453645722
T2_min_count_3,final_style_2025,2024,2025,test,platt,7,0.6000000000000001,0.7000000000000001,6,0.612311219230826,0.8333333333333334,0.22102211410250738
T2_min_count_3,final_style_2025,2024,2025,test,platt,8,0.7000000000000001,0.8,0,,,
T2_min_count_3,final_style_2025,2024,2025,test,platt,9,0.8,0.9,0,,,
T2_min_count_3,final_style_2025,2024,2025,test,platt,10,0.9,1.0,0,,,
T2_min_count_3,final_style_2025,2024,2025,validation,isotonic,1,0.0,0.1,72009,0.03980061613131691,0.03980058048299518,3.564832173202914e-08
T2_min_count_3,final_style_2025,2024,2025,validation,isotonic,2,0.1,0.2,29967,0.14202289184769915,0.14202289184769915,0.0
T2_min_count_3,final_style_2025,2024,2025,validation,isotonic,3,0.2,0.30000000000000004,15004,0.23993601706211676,0.23993601706211676,0.0
T2_min_count_3,final_style_2025,2024,2025,validation,isotonic,4,0.30000000000000004,0.4,4898,0.328909759085341,0.328909759085341,0.0
T2_min_count_3,final_style_2025,2024,2025,validation,isotonic,5,0.4,0.5,2980,0.4399328859060403,0.4399328859060403,0.0
T2_min_count_3,final_style_2025,2024,2025,validation,isotonic,6,0.5,0.6000000000000001,28,0.5357142857142858,0.5357142857142857,1.1102230246251565e-16
T2_min_count_3,final_style_2025,2024,2025,validation,isotonic,7,0.6000000000000001,0.7000000000000001,82,0.6097560975609756,0.6097560975609756,0.0
T2_min_count_3,final_style_2025,2024,2025,validation,isotonic,8,0.7000000000000001,0.8,0,,,
T2_min_count_3,final_style_2025,2024,2025,validation,isotonic,9,0.8,0.9,0,,,
T2_min_count_3,final_style_2025,2024,2025,validation,isotonic,10,0.9,1.0,6,0.999999,1.0,1.0000000000287557e-06
T2_min_count_3,final_style_2025,2024,2025,test,isotonic,1,0.0,0.1,68729,0.04006947768513096,0.03713134193717354,0.0029381357479574197
T2_min_count_3,final_style_2025,2024,2025,test,isotonic,2,0.1,0.2,30037,0.14207205185383667,0.1404933914838366,0.0015786603700000679
T2_min_count_3,final_style_2025,2024,2025,test,isotonic,3,0.2,0.30000000000000004,15559,0.23987711994547425,0.23022045118580886,0.009656668759665393
T2_min_count_3,final_style_2025,2024,2025,test,isotonic,4,0.30000000000000004,0.4,4963,0.3295566516558895,0.3237960910739472,0.005760560581942298
T2_min_count_3,final_style_2025,2024,2025,test,isotonic,5,0.4,0.5,3157,0.4409519764599586,0.4653151726322458,0.024363196172287216
T2_min_count_3,final_style_2025,2024,2025,test,isotonic,6,0.5,0.6000000000000001,45,0.536950845471978,0.6888888888888889,0.15193804341691086
T2_min_count_3,final_style_2025,2024,2025,test,isotonic,7,0.6000000000000001,0.7000000000000001,105,0.6081575246132207,0.7904761904761904,0.18231866586296974
T2_min_count_3,final_style_2025,2024,2025,test,isotonic,8,0.7000000000000001,0.8,0,,,
T2_min_count_3,final_style_2025,2024,2025,test,isotonic,9,0.8,0.9,2,0.8654445796124093,1.0,0.13455542038759072
T2_min_count_3,final_style_2025,2024,2025,test,isotonic,10,0.9,1.0,19,0.9999989999999999,0.8421052631578947,0.15789373684210517
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,uncalibrated,1,0.0,0.1,8991,0.055942479976551655,0.016794572350127907,0.03914790762642375
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,uncalibrated,2,0.1,0.2,12098,0.15114054164518634,0.04761117540089271,0.10352936624429362
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,uncalibrated,3,0.2,0.30000000000000004,13120,0.2501974744442177,0.07332317073170731,0.1768743037125104
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,uncalibrated,4,0.30000000000000004,0.4,13349,0.3498393672058384,0.10884710465203386,0.24099226255380457
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,uncalibrated,5,0.4,0.5,13123,0.44936439059565386,0.15697630115065153,0.29238808944500233
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,uncalibrated,6,0.5,0.6000000000000001,11860,0.5489182579092591,0.21138279932546375,0.3375354585837953
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,uncalibrated,7,0.6000000000000001,0.7000000000000001,9389,0.646755473896561,0.3070614548940249,0.33969401900253604
