experiment_id,split,model_name,feature_set,rows,train_rows,positive_rows,positive_share,threshold,accuracy,balanced_accuracy,precision,recall,specificity,npv,f1,roc_auc,pr_auc,tn,fp,fn,tp,majority_class,train_positive_prevalence,threshold_multiplier,threshold_selection_split,validation_selected_f1,fit_seconds,selected_feature_count,numeric_feature_count,categorical_feature_count,class_weight,max_iter,C,sample_train
E1_main_2015_2025,train,majority_class,none,954990,954990,121306,0.1270233196159122,0.5,0.8729766803840878,0.5,0.0,0.0,1.0,0.8729766803840878,0.0,0.5,0.1270233196159122,833684,0,121306,0,0.0,0.1270233196159122,,,,,,,,,,,
E1_main_2015_2025,validation,majority_class,none,122616,954990,15574,0.12701441899915183,0.5,0.8729855810008482,0.5,0.0,0.0,1.0,0.8729855810008482,0.0,0.5,0.12701441899915183,107042,0,15574,0,0.0,0.1270233196159122,,,,,,,,,,,
E1_main_2015_2025,test,recent_momentum_above_baseline,historical_rule,247590,954990,31570,0.12750918857789087,0.0,0.7008845268387253,0.6053575200703064,0.20743933676701462,0.47713018688628445,0.7335848532543283,0.9056613478419897,0.28916148352914073,0.6235634603924124,0.20254468810598747,158469,57551,16507,15063,,,,,,,,,,,,,
E1_main_2015_2025,train,recent_momentum_above_baseline,historical_rule,954990,954990,121306,0.1270233196159122,0.0,0.7069812249342925,0.6079688461911642,0.21053458085909824,0.4752361795789161,0.7407015128034123,0.9065472834895356,0.2917991131987609,0.6261563595417711,0.20929557465831627,617511,216173,63657,57649,,,,,,,,,,,,,
E1_main_2015_2025,validation,recent_momentum_above_baseline,historical_rule,122616,954990,15574,0.12701441899915183,0.0,0.7014989887127292,0.6086044065707564,0.2088076443705858,0.4840760241428021,0.7331327889987108,0.9071216377108113,0.2917626115056406,0.6252081904545908,0.2002815129582885,78476,28566,8035,7539,,,,,,,,,,,,,
E1_main_2015_2025,test,rolling_zscore_rule,historical_rule,247590,954990,31570,0.12750918857789087,0.8400268916128758,0.7838240639767358,0.6300200759517421,0.274595971004374,0.4235666772252138,0.8364734746782705,0.9085035672446994,0.33318798509972963,0.6851599907292808,0.2658131052709528,180695,35325,18198,13372,,,,validation,0.32446127988360135,,,,,,,,
E1_main_2015_2025,train,rolling_zscore_rule,historical_rule,954990,954990,121306,0.1270233196159122,0.8400268916128758,0.7854050827757358,0.6293378515219283,0.2746502403587057,0.42011936754983265,0.8385563354940241,0.9085782536253921,0.3321558224869811,0.6870034129504428,0.2727763685155961,699091,134593,70343,50963,,,,validation,0.32446127988360135,,,,,,,,
E1_main_2015_2025,validation,rolling_zscore_rule,historical_rule,122616,954990,15574,0.12701441899915183,0.8400268916128758,0.7803793958374111,0.6243739799886329,0.2662522129358969,0.4152433543084628,0.8335046056688029,0.9073804753526499,0.32446127988360135,0.6775356792185021,0.261478106638759,89220,17822,9107,6467,,,,validation,0.32446127988360135,,,,,,,,
E1_main_2015_2025,test,seasonal_lag52_margin,historical_rule,247590,954990,31570,0.12750918857789087,-9.580058618994972,0.41108687749909123,0.5508897560400808,0.14493600462482362,0.7385492556224263,0.3632302564577354,0.9048190131343765,0.24231842486788158,0.5806141829451437,0.1773194788039283,78465,137555,8254,23316,,,1.5,validation,0.237915765626609,,,,,,,,
E1_main_2015_2025,train,seasonal_lag52_margin,historical_rule,954990,954990,121306,0.1270233196159122,-9.580058618994972,0.43827788772657306,0.5389568985137793,0.14128250105852566,0.6739237960199825,0.40399000100757604,0.8948997621926107,0.23359397434926657,0.5583531785389314,0.1668708147311288,336800,496884,39555,81751,,,1.5,validation,0.237915765626609,,,,,,,,
E1_main_2015_2025,validation,seasonal_lag52_margin,historical_rule,122616,954990,15574,0.12701441899915183,-9.580058618994972,0.39644092125008157,0.5439748128759407,0.14167974882260598,0.7417490689610889,0.3462005567907924,0.9020934761441091,0.237915765626609,0.5661143183135784,0.16141887622068274,37058,69984,4022,11552,,,1.5,validation,0.237915765626609,,,,,,,,
E1_main_2015_2025,test,train_prevalence_probability,none,247590,954990,31570,0.12750918857789087,0.1270233196159122,0.8724908114221092,0.5,0.0,0.0,1.0,0.8724908114221092,0.0,0.5,0.12750918857789087,216020,0,31570,0,0.0,0.1270233196159122,,,,,,,,,,,
E1_main_2015_2025,train,train_prevalence_probability,none,954990,954990,121306,0.1270233196159122,0.1270233196159122,0.8729766803840878,0.5,0.0,0.0,1.0,0.8729766803840878,0.0,0.5,0.1270233196159122,833684,0,121306,0,0.0,0.1270233196159122,,,,,,,,,,,
E1_main_2015_2025,validation,train_prevalence_probability,none,122616,954990,15574,0.12701441899915183,0.1270233196159122,0.8729855810008482,0.5,0.0,0.0,1.0,0.8729855810008482,0.0,0.5,0.12701441899915183,107042,0,15574,0,0.0,0.1270233196159122,,,,,,,,,,,
